Locality,Zip Code,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Median Price per Commune,Median Revenue per Commune,Price/m2
Zaventem,1930,house,319000,3,103,1,0,0,0,0,0,0,300,3,1900,1,534,3,379500,29918,3097
Evere,1140,ground-floor,275000,2,85,1,0,0,0,0,0,0,0,2,1970,1,344,3,257500,24158,3235
Wervik,8940,house,289000,3,137,0,0,0,0,1,65,0,155,2,1930,5,156,5,215000,28100,2109
Wezembeek-oppem,1970,house,675000,3,150,1,0,1,17,1,100,0,175,2,1950,5,199,5,520000,33282,4500
Mol,2400,apartment,169000,2,93,0,0,0,0,0,0,0,0,4,1994,5,184,2,268000,30380,1817
Elsene,1050,apartment,565000,2,160,1,0,1,38,1,90,0,0,2,1850,3,174,4,350000,23014,3531
Aubange,6790,house,450000,4,255,1,0,1,82,0,0,0,706,2,2009,5,157,3,240000,30967,1764
Kluisbergen,9690,town-house,249000,2,165,1,0,1,20,1,40,0,130,2,1995,5,180,5,276000,32017,1509
Asse,1730,apartment,190000,2,60,1,0,0,0,0,0,0,0,3,2006,5,196,3,288000,29699,3166
Beveren,9120,apartment,230000,2,81,1,0,1,9,0,0,0,0,2,1978,5,133,3,296500,32302,2839
Virton-ruette,6760,house,265000,5,164,0,0,0,0,1,180,0,736,4,1965,1,486,2,220000,27556,1615
Jette,1090,apartment,269000,3,106,1,0,1,10,0,0,0,0,3,1975,3,171,3,235000,24171,2537
Oupeye,4680,apartment,159000,1,76,1,0,1,4,0,0,0,0,2,1968,2,378,2,220000,26992,2092
Toernich,6700,house,495000,3,240,1,0,1,15,1,1000,0,1680,4,1965,3,318,3,286500,34008,2062
Ixelles,1050,apartment,499000,2,91,1,0,1,5,0,0,0,0,2,2024,6,30,5,350000,23014,5483
Liege,4000,flat-studio,119500,1,26,0,0,0,0,0,0,0,0,2,1850,5,161,4,170000,22738,4596
Liege,4000,house,510000,7,420,1,0,0,0,0,0,0,120,2,1920,3,267,3,170000,22738,1214
Molenbeek-saint-jean,1080,apartment,189000,2,75,1,0,0,0,0,0,0,0,2,1935,0,950,3,215000,21062,2520
Deinzeastene,9800,house,475000,3,167,1,0,0,0,1,114,0,235,3,2022,6,30,5,320500,31900,2844
Leuven,3000,flat-studio,189000,1,29,0,0,0,0,0,0,0,0,2,1993,1,516,2,340000,30408,6517
Brasschaat,2930,apartment,349000,2,100,1,0,1,8,0,0,0,0,2,1979,5,162,4,385000,31614,3490
Liedekerke,1770,house,329000,2,131,1,0,0,0,0,0,0,139,2,1950,3,376,3,310000,30325,2511
Knokke-heist,8301,apartment,225000,1,46,0,0,0,0,0,0,0,0,2,1969,5,162,5,592500,28601,4891
Aubange,6790,house,315000,2,166,1,0,0,0,0,0,0,660,4,1967,1,499,3,240000,30967,1897
Gent,9000,apartment,299000,1,61,1,0,1,6,0,0,0,0,2,2011,6,65,5,335000,27,4901
Gingelom,3890,villa,420000,3,150,1,0,1,10,1,350,0,628,4,2010,5,128,5,250000,31659,2800
Saint-hubert,6870,villa,570000,6,263,1,0,1,20,0,0,0,2800,4,2011,5,109,5,170000,27382,2167
Veurne,8630,house,199000,3,157,0,0,0,0,1,217,0,370,2,1934,1,684,1,283750,27802,1267
Molenbeek-saint-jean,1080,apartment,219500,1,60,1,0,1,5,0,0,0,0,2,2020,5,86,5,215000,21062,3658
Forest,1190,penthouse,300000,3,100,1,0,0,0,0,0,0,0,2,1970,5,20,5,280000,22908,3000
Courcelles,6180,house,149900,2,120,0,0,1,20,0,0,0,182,2,1899,0,515,2,167000,25176,1249
Molenbeek-saint-jean,1080,apartment,219500,1,63,1,0,1,5,0,0,0,0,2,2020,5,91,5,215000,21062,3484
Gent,9000,house,299000,3,120,0,0,0,0,0,0,0,425,3,1903,1,530,3,335000,27,2491
Aarsele,8700,house,158000,4,169,0,0,0,0,1,20,0,143,2,1950,1,767,5,275000,29505,934
Molenbeek-saint-jean,1080,apartment,219500,1,60,1,0,1,5,0,0,0,0,2,2020,5,86,5,215000,21062,3658
Maaseik,3680,house,255000,3,150,0,0,0,0,0,0,0,629,4,1964,1,725,1,250000,29364,1700
Molenbeek-saint-jean,1080,apartment,222500,1,63,1,0,1,5,0,0,0,0,2,2020,5,91,5,215000,21062,3531
Wommersom,3350,house,169000,3,125,0,0,0,0,0,0,0,147,3,1949,1,718,1,299000,33102,1352
Braine-lalleud,1420,apartment,225000,1,70,1,0,0,0,0,0,0,0,3,1990,3,334,3,360000,30512,3214
Woluwe-saint-lambert,1200,house,650000,3,225,0,0,0,0,1,230,0,300,3,1954,0,449,3,369000,27210,2888
Menen,8930,house,179000,2,130,1,0,1,33,0,0,0,103,2,1938,3,368,3,180000,26819,1376
Maldegem,9990,apartment,237000,2,99,0,0,0,0,0,0,0,0,2,1991,3,316,3,294000,30415,2393
Eernegem,8480,house,185000,3,104,0,0,0,0,1,62,0,296,2,1933,1,746,3,295000,30261,1778
Nassogne,6950,apartment,149000,1,75,1,1,0,0,0,0,0,0,2,1966,4,247,4,190000,28072,1986
Wellen,3830,service-flat,209000,1,72,0,0,1,9,0,0,0,0,2,2017,6,78,3,289900,31552,2902
Herstal,4040,house,149000,3,88,1,0,1,19,0,0,0,607,2,1918,2,363,3,170000,24271,1693
Leeuw-saint-pierre,1600,apartment,239000,3,85,0,0,1,3,0,0,0,0,2,1964,5,152,3,325000,29043,2811
Orp-jauche,1350,house,200000,3,135,1,0,0,0,0,0,0,781,4,1874,2,421,1,279000,30353,1481
Roeselare,8800,house,169000,2,128,0,0,0,0,1,29,0,99,2,1899,4,258,3,238106,28720,1320
Lahulpe,1310,apartment,635000,3,180,1,0,1,20,0,0,0,0,3,2003,5,102,5,450000,29267,3527
Mechelen,2800,house,469000,3,183,1,0,0,0,0,0,0,504,4,1938,2,465,4,312500,29870,2562
Woluwe-saint-lambert,1200,apartment,430000,2,107,1,0,1,6,0,0,0,0,2,2016,4,103,5,369000,27210,4018
Mettet,5640,house,215170,3,153,1,0,0,0,1,130,0,258,3,2024,5,117,5,232000,28885,1406
Oudenaarde,9700,house,110000,4,100,0,0,0,0,0,0,0,180,2,1875,1,598,1,275000,30647,1100
Schaerbeek,1030,apartment,180000,1,80,1,0,0,0,0,0,0,0,2,1920,1,304,2,275000,21912,2250
Saint-nicolas,4420,house,180000,3,105,1,0,1,2,1,120,0,230,3,1925,0,528,3,170000,24020,1714
Peutie,1800,house,175000,2,75,0,0,0,0,1,88,0,219,2,1918,1,757,1,300000,29017,2333
Herk-de-stad,3540,house,265000,3,220,0,0,0,0,0,0,0,1280,4,1965,1,914,2,278000,31143,1204
Gent,9000,house,429000,4,182,0,0,0,0,0,0,0,285,3,1978,4,259,5,335000,27,2357
Schaerbeek,1030,apartment,190000,1,80,1,0,1,1,0,0,0,0,2,1920,0,714,1,275000,21912,2375
Ieper,8900,house,340000,4,204,0,0,1,35,0,0,0,130,2,1930,3,306,5,250000,28243,1666
La-louviere,7100,house,185000,3,200,1,0,1,20,1,100,0,250,2,1930,0,530,2,155000,23915,925
Schaerbeek,1030,apartment,190000,1,80,1,0,0,0,0,0,0,0,2,1920,1,304,3,275000,21912,2375
Tielt,8700,villa,539000,5,300,0,0,1,40,1,1000,0,1706,4,1961,1,552,2,275000,29505,1796
Oostende,8400,house,185000,4,148,0,0,0,0,1,13,0,81,2,1919,1,535,5,235000,25991,1250
Bruxelles,1000,duplex,529000,3,134,1,0,1,5,1,20,0,0,2,2012,4,147,3,275000,21541,3947
Beersel,1650,house,395000,4,221,1,0,0,0,0,0,0,250,2,1930,4,227,3,396000,32780,1787
Liege,4000,house,189000,3,145,1,1,1,85,1,70,0,800,2,1850,3,281,3,170000,22738,1303
Oudenaarde,9700,apartment,297000,2,72,1,0,1,16,0,0,0,0,4,2019,6,69,5,275000,30647,4125
Kortrijk,8500,house,349000,3,186,1,0,0,0,0,0,0,479,2,1967,5,126,4,265000,28248,1876
Leopoldsburg,3970,house,347000,3,170,0,0,0,0,0,0,0,325,3,1997,5,179,3,245000,29587,2041
Berchem-sainte-agathe,1082,apartment,269000,2,92,1,0,0,0,0,0,0,0,2,2007,3,171,3,267500,24327,2923
Roeselare,8800,house,229000,4,113,0,0,0,0,1,18,0,80,2,1945,5,159,3,238106,28720,2026
Zottegem,9620,house,199500,3,156,0,0,1,6,1,38,0,120,2,1955,2,415,3,260000,32118,1278
Koekelare,8680,house,210000,3,113,0,0,0,0,1,208,0,292,3,1960,1,653,3,275000,29558,1858
Florenvillechassepierre,6820,house,270000,4,200,1,0,1,40,0,0,0,197,2,1900,2,402,2,175000,25602,1350
Flemalle,4400,house,220000,3,175,1,0,0,0,1,80,0,237,3,1963,4,235,3,190000,26199,1257
Borgloon,3840,house,135000,2,92,1,0,0,0,0,0,0,76,2,1850,1,594,3,260000,29600,1467
Bruxelles,1000,apartment,449000,2,107,1,0,0,0,0,0,0,0,2,2007,3,202,3,275000,21541,4196
Woluwe-saint-lambert,1200,apartment,309000,1,70,1,0,1,12,0,0,0,0,2,1964,0,448,3,369000,27210,4414
Herstal,4040,house,260000,3,137,1,0,0,0,0,0,0,104,2,1936,3,269,3,170000,24271,1897
Roeselare,8800,house,160000,4,179,0,0,0,0,0,0,0,353,4,1970,1,510,3,238106,28720,893
Jette,1090,apartment,309000,2,80,1,0,0,0,0,0,0,0,2,1932,3,186,4,235000,24171,3862
Liege,4000,house,330000,4,177,0,0,1,21,0,0,0,95,2,1898,3,332,3,170000,22738,1864
Affligem,1790,house,419000,3,160,1,0,1,20,1,440,0,636,3,1983,4,206,5,330000,34876,2618
Lommel,3920,apartment,219000,2,121,1,0,1,9,1,149,0,0,2,2003,5,166,3,285000,30215,1809
Liedekerke,1770,house,475000,2,163,1,0,1,24,1,410,0,580,4,1999,4,228,3,310000,30325,2914
Nazareth,9810,house,450000,4,171,0,0,0,0,1,300,0,635,3,1962,4,276,2,397500,32737,2631
Uccle,1180,apartment,460000,2,141,1,0,0,0,1,25,0,0,2,1910,3,188,3,390000,26467,3262
Knokke-heist,8301,house,669000,3,128,1,0,0,0,1,34,0,121,3,1956,5,193,5,592500,28601,5226
De-pinte,9840,house,688000,3,197,1,0,1,40,1,400,1,701,4,1988,3,394,3,442500,39726,3492
Roeselare,8800,house,175000,3,172,0,0,0,0,0,0,0,130,2,1899,1,605,2,238106,28720,1017
Geraardsbergen,9500,house,215000,1,100,1,0,1,8,0,0,0,100,2,1874,5,133,5,238500,29578,2150
Boom,2850,house,375000,2,193,1,1,1,10,1,10,0,193,1,1949,3,322,1,258000,27780,1943
Saint-leger,6747,house,155000,3,120,1,0,0,0,1,100,0,160,3,1850,0,537,1,233000,34040,1291
Uccle,1180,apartment,360000,2,101,1,0,1,5,0,0,0,0,3,2014,4,109,5,390000,26467,3564
Geraardsbergen,9500,house,95000,2,112,0,0,1,20,1,110,0,230,2,1918,1,904,1,238500,29578,848
Wellin,6920,house,99900,3,144,1,0,0,0,0,0,0,259,4,1850,0,619,1,220000,25952,693
Ixelles,1050,apartment,695000,3,132,1,0,1,32,1,32,0,0,2,2017,3,208,5,350000,23014,5265
Eeklo,9900,house,275000,4,191,0,0,1,20,1,90,0,210,2,1931,5,196,5,250000,27380,1439
Neufchateau,6840,house,110000,3,103,1,0,1,9,1,111,0,277,2,1850,2,350,3,185000,28408,1067
Saint-nicolas,4420,house,139000,3,116,0,0,1,30,1,130,0,275,2,1899,3,340,3,170000,24020,1198
Buggenhout,9255,house,219000,2,171,0,0,0,0,0,0,0,120,2,1874,1,653,3,327500,33340,1280
Hoegaarden,3320,villa,895000,3,300,1,0,1,35,1,600,1,871,4,2021,6,13,5,317500,34995,2983
Baasrode,9200,house,229000,3,130,0,0,0,0,0,0,0,236,2,1956,2,490,3,265000,30172,1761
Steenokkerzeel-perk,1820,house,525000,4,182,1,0,1,25,1,477,0,640,3,1946,4,287,3,425000,33462,2884
Lokeren,9160,house,240000,2,80,0,0,0,0,0,0,0,90,2,1918,4,239,5,295000,30290,3000
Liege,4000,apartment,210000,3,120,1,0,0,0,0,0,0,0,4,1988,4,237,3,170000,22738,1750
Amay,4540,house,159000,2,113,0,0,0,0,1,191,0,391,3,1918,0,639,1,200000,27135,1407
Jette,1090,apartment,299000,3,128,1,0,0,0,0,0,0,0,2,1963,0,405,3,235000,24171,2335
Blankenberge,8370,apartment,385000,3,124,1,0,0,0,0,0,0,0,2,1980,5,112,5,235000,25711,3104
Uccle,1180,apartment,395000,2,85,1,0,1,3,0,0,0,0,2,1950,4,148,5,390000,26467,4647
Mortsel,2640,apartment,295000,2,110,1,0,1,13,0,0,0,0,2,2007,6,95,5,339500,31213,2681
Vilvoorde,1800,house,299000,3,140,0,0,0,0,1,35,0,122,2,1940,2,446,2,300000,29017,2135
Liege,4000,house,379000,2,186,1,0,1,18,1,115,0,433,3,1995,3,298,3,170000,22738,2037
Sint-pauwels,9170,house,349000,4,174,1,0,1,8,0,0,0,440,3,1950,2,449,3,330000,31678,2005
Tielt,8700,house,249000,3,157,0,0,1,30,1,131,0,284,2,1969,3,334,2,275000,29505,1585
Saint-nicolas,4420,loft,209000,2,130,1,0,1,12,0,0,0,0,2,1988,5,167,5,170000,24020,1607
Borgloon,3840,house,299000,2,243,1,0,0,0,0,0,0,432,2,1955,3,306,3,260000,29600,1230
Herzele,9550,apartment,238000,3,110,1,0,1,30,1,312,0,0,2,1989,3,383,3,300044,32877,2163
Forest,1190,apartment,364000,3,120,1,0,1,8,0,0,0,0,2,2023,5,95,5,280000,22908,3033
Molenbeek-saint-jean,1080,apartment,239000,2,103,1,0,0,0,0,0,0,0,2,1975,1,338,5,215000,21062,2320
Houffalize,6660,house,149000,3,156,0,0,0,0,0,0,0,195,2,1965,1,459,1,201000,27644,955
Dison,4820,town-house,265000,3,108,1,0,0,0,1,100,0,284,3,2001,3,284,5,163750,22557,2453
Berlare,9290,house,299000,3,250,1,0,0,0,0,0,0,490,3,1995,4,289,3,306750,30292,1196
Kortrijk,8500,apartment,240000,2,100,1,0,1,7,0,0,0,0,3,1995,4,232,5,265000,28248,2400
Londerzeel,1840,house,525000,5,356,1,0,0,0,0,0,0,512,2,1934,5,174,3,369000,32899,1474
Loverval,6280,villa,235000,4,115,0,0,0,0,1,300,0,738,4,1977,0,572,3,275000,30371,2043
Uccle,1180,flat-studio,239000,1,56,1,0,0,0,0,0,0,0,2,1950,2,260,3,390000,26467,4267
Nivelles,1400,ground-floor,269000,3,127,1,0,1,15,0,0,0,0,2,1990,2,376,5,260000,28900,2118
Virtonbleid,6760,house,155000,2,110,0,0,0,0,1,900,0,983,3,1918,0,520,1,220000,27556,1409
Koekelberg,1081,house,439000,5,168,0,0,1,25,1,125,0,257,2,1929,0,760,2,230000,22526,2613
Morlanwelz,7140,house,85000,3,95,0,0,0,0,0,0,0,80,2,1870,1,484,1,155000,24592,894
Willebroek,2830,apartment,209000,3,124,0,0,0,0,0,0,0,0,2,1963,1,590,2,286750,29939,1685
Willebroek,2830,house,485000,3,111,0,0,0,0,0,0,1,1379,4,1985,1,528,2,286750,29939,4369
Anhee,5537,house,110000,1,73,0,0,1,35,0,0,0,15,2,1970,2,395,3,205000,28119,1506
Anderlecht,1070,duplex,310000,3,135,1,0,0,0,0,0,0,0,2,2003,3,179,3,220000,21336,2296
Mechelen,2800,house,299000,3,128,0,0,0,0,0,0,0,470,3,1930,1,914,1,312500,29870,2335
Ctalle,6740,exceptional-property,495000,6,275,1,0,0,0,0,0,0,297,2,1850,3,268,3,266500,34230,1800
Rhode-saint-genese,1640,house,800000,4,240,1,0,1,35,0,0,1,840,3,1935,1,589,3,530000,32847,3333
Brasschaat,2930,house,870000,2,289,1,0,0,0,0,0,0,1861,4,1970,5,192,3,385000,31614,3010
Tisselt,2830,house,279000,3,148,1,0,1,18,1,79,0,267,3,1918,1,512,2,286750,29939,1885
Herentals,2200,house,199000,3,106,0,0,0,0,0,0,0,119,2,1918,4,284,2,274000,29831,1877
Beerse,2340,villa,925000,4,475,1,0,0,0,0,0,1,2585,4,1977,4,288,3,375000,32645,1947
Brasschaat,2930,villa,1650000,8,518,1,0,0,0,0,0,0,9127,4,1924,2,415,1,385000,31614,3185
Brussel,1000,apartment,350000,2,103,1,0,0,0,0,0,0,0,2,2013,3,208,3,275000,21541,3398
Boechout,2530,apartment,289000,2,90,1,0,1,5,0,0,0,0,2,2019,6,98,5,361000,32826,3211
Woluwe-saint-pierre,1150,house,995000,5,320,1,0,1,11,1,100,0,230,2,1956,2,226,1,465000,29516,3109
Oostende,8400,apartment,175000,2,86,1,0,0,0,0,0,0,0,2,1994,4,249,3,235000,25991,2034
Oostende,8400,apartment,183000,2,86,1,0,1,1,0,0,0,0,2,1995,5,182,3,235000,25991,2127
Laarne,9270,villa,1085000,3,295,0,0,0,0,0,0,1,870,4,2003,5,183,3,378439,32671,3677
Merelbeke,9820,house,1087000,4,390,0,0,0,0,0,0,0,2839,4,1990,5,181,5,375000,34972,2787
Lommel,3920,apartment,219000,2,106,0,0,0,0,0,0,0,0,2,2003,5,187,3,285000,30215,2066
Herselt,2230,house,399000,4,156,0,0,0,0,0,0,0,614,3,2005,5,184,3,285000,31204,2557
Wetteren,9230,duplex,342000,2,172,1,0,1,11,0,0,0,0,2,2011,6,99,5,280000,30041,1988
Lommel,3920,house,365000,4,178,0,0,0,0,0,0,0,824,4,1974,3,390,3,285000,30215,2050
Edegem,2650,villa,1295000,3,230,1,0,0,0,0,0,0,923,4,2011,5,131,3,339900,34133,5630
Lasne,1380,villa,1395000,6,534,1,0,0,0,0,0,0,4929,4,2009,5,60,3,625000,32121,2612
Braine-lalleud,1420,duplex,315000,3,127,0,0,0,0,0,0,0,0,3,2005,4,220,5,360000,30512,2480
Rhode-saint-genese,1640,house,545000,3,120,1,0,1,55,1,300,0,516,4,1987,3,367,3,530000,32847,4541
Brasschaat,2930,house,1395000,4,342,1,0,0,0,0,0,1,8045,4,1919,1,518,3,385000,31614,4078
Kraainem,1950,house,595000,3,160,1,0,1,16,1,250,0,273,2,1983,5,180,2,530000,32881,3718
Courcelles,6180,house,149900,3,180,0,0,0,0,0,0,0,109,2,1957,1,507,2,167000,25176,832
Nieuwpoort,8620,house,459000,4,200,0,0,0,0,1,40,0,128,2,2019,6,76,3,260000,27342,2295
Laarne,9270,villa,1450000,3,295,0,0,0,0,0,0,1,1844,4,2003,5,183,3,378439,32671,4915
Roeselare,8800,house,180000,4,150,0,0,0,0,0,0,0,199,4,1939,3,385,5,238106,28720,1200
Bruxelles,1000,apartment,595000,2,235,1,0,1,6,0,0,0,0,4,1800,2,268,3,275000,21541,2531
Evere,1140,apartment,275000,2,85,1,0,1,14,0,0,0,0,3,1969,3,162,3,257500,24158,3235
Ixelles,1050,apartment,745000,4,240,1,0,0,0,1,100,0,0,2,1899,2,227,5,350000,23014,3104
Lier,2500,loft,810000,2,247,1,0,1,9,0,0,0,0,4,2001,5,183,5,290000,29623,3279
Couvin,5660,house,165000,2,115,0,0,1,39,1,435,0,612,3,1968,2,359,3,150000,23943,1434
Saint-gilles,1060,penthouse,899000,4,200,1,0,0,0,0,0,0,0,2,1930,3,189,5,291000,20648,4495
Braine-lalleud,1420,house,435000,4,180,1,0,1,15,0,0,0,354,2,1979,4,212,2,360000,30512,2416
Gistel,8470,house,169000,4,124,0,0,0,0,0,0,0,182,2,1934,4,282,5,280000,30301,1362
Tournai,7500,house,250000,4,255,1,0,0,0,0,0,0,140,2,1894,1,434,1,195000,25518,980
Waterloo,1410,villa,495000,3,150,1,0,1,25,1,722,0,722,4,1957,3,311,2,475000,31143,3300
Neufchcateau,6840,house,259900,3,204,1,0,1,12,0,0,0,94,2,1850,5,99,3,185000,28408,1274
Damme-sijsele,8340,apartment,260000,2,102,1,0,0,0,0,0,0,0,2,2009,5,111,3,375000,31561,2549
Rixensart,1330,villa,1495000,6,850,1,0,1,118,1,1,0,2007,4,2009,6,68,5,450000,29985,1758
Edegem,2650,house,1450000,4,360,1,0,0,0,1,315,0,703,4,1970,5,147,4,339900,34133,4027
Schaerbeek,1030,house,860000,5,254,1,0,1,25,0,0,0,137,2,1927,3,208,5,275000,21912,3385
Kuurne,8520,house,325000,3,183,0,0,0,0,0,0,0,259,2,1959,5,106,3,249000,29973,1775
Uccle,1180,house,1500000,4,482,1,0,1,23,0,0,1,570,3,1930,1,294,3,390000,26467,3112
Izegem,8870,house,225000,3,186,0,0,0,0,0,0,0,67,3,1993,5,184,5,220000,29378,1209
Bievre,5555,house,130000,7,270,1,0,0,0,0,0,0,622,4,1897,0,576,1,170000,25687,481
Mons,7000,house,195000,3,125,0,0,1,21,1,144,0,215,2,1967,5,162,3,170000,24834,1560
Kortrijk,8500,house,455000,4,187,1,0,0,0,1,100,0,245,2,1971,5,148,3,265000,28248,2433
Bruxelles,1000,apartment,1175000,4,260,1,0,0,0,0,0,1,0,3,2012,3,189,5,275000,21541,4519
Brugge,8000,house,395000,3,374,0,0,0,0,0,0,0,167,4,1937,4,286,3,310000,29506,1056
Halle,1500,house,620000,5,201,0,0,0,0,0,0,0,420,4,2015,5,107,5,308250,30101,3084
Silly,7830,house,299000,4,225,1,0,1,73,1,346,0,580,3,1918,3,259,3,285000,31124,1328
Ham,3945,exceptional-property,479000,3,182,1,0,0,0,0,0,0,635,4,2006,5,112,3,270000,31862,2631
Houthulst,8650,house,425000,3,204,0,0,0,0,0,0,0,860,4,1988,2,414,3,240250,28591,2083
Olen,2250,house,449000,1,230,1,0,0,0,0,0,0,512,3,2009,6,40,3,312000,31912,1952
Mol,2400,house,499500,4,240,0,0,0,0,0,0,0,910,3,2020,6,97,3,268000,30380,2081
Lint,2547,house,595000,3,208,1,0,0,0,0,0,0,501,3,1962,6,52,5,370000,34512,2860
Geraardsbergenmoerbeke,9500,house,279000,4,208,1,0,0,0,0,0,0,109,2,1931,5,148,5,238500,29578,1341
Wervik,8940,house,445000,3,190,0,0,1,50,1,655,0,931,4,1989,4,296,5,215000,28100,2342
Nijlen,2560,house,875000,6,429,0,0,0,0,0,0,0,4904,4,2021,6,84,3,315000,31353,2039
Halle,1500,house,620000,5,201,0,0,0,0,0,0,0,420,4,2015,5,107,5,308250,30101,3084
Hannutvillersle-peuplier,4280,house,285000,5,350,0,0,1,40,1,967,0,1231,3,1850,1,442,1,249000,29642,814
Uccle,1180,house,720000,5,231,1,0,0,0,1,140,0,455,2,1989,2,256,2,390000,26467,3116
Geel,2440,house,725000,4,452,1,0,0,0,0,0,0,6246,4,1953,1,546,2,270000,30648,1603
Lebbeke,9280,house,285000,3,200,0,0,1,44,1,30,0,392,2,1918,3,371,1,270000,31547,1425
Nazareth,9810,villa,584000,4,200,0,0,1,35,1,656,0,847,4,1988,5,167,5,397500,32737,2920
Edingen,7850,villa,845000,4,293,0,0,0,0,0,0,0,3352,4,2006,4,214,3,249500,28427,2883
Turnhout,2300,penthouse,485000,4,205,0,0,1,30,0,0,0,0,4,1997,4,218,5,250000,27404,2365
Ronse,9600,house,795000,3,312,0,0,0,0,0,0,0,2936,4,2008,5,175,3,203500,25716,2548
Liege,4000,apartment,920000,8,360,1,0,1,18,1,45,0,0,3,2013,5,168,3,170000,22738,2555
Jette,1090,apartment,445000,4,197,1,0,1,27,0,0,0,0,2,1970,3,158,3,235000,24171,2258
Dehaan,8420,villa,895000,3,282,0,0,0,0,0,0,0,690,4,1970,4,215,3,260000,28811,3173
Woluwe-saint-lambert,1200,house,995000,5,298,1,0,1,7,1,45,0,117,2,2024,6,45,5,369000,27210,3338
Uccle,1180,duplex,875000,3,215,1,0,1,22,0,0,0,0,2,1992,4,101,5,390000,26467,4069
Maldegem,9990,house,985000,3,310,0,0,0,0,0,0,0,6846,4,2011,3,344,5,294000,30415,3177
Bruxelles,1000,apartment,895000,3,220,1,0,0,0,0,0,0,0,2,1936,2,251,3,275000,21541,4068
Schaerbeek,1030,apartment,940000,4,337,1,0,0,0,0,0,0,0,2,1946,3,203,5,275000,21912,2789
Brasschaat,2930,house,319000,3,168,0,0,0,0,0,0,0,300,2,1969,4,270,3,385000,31614,1898
Edegem,2650,house,530000,3,229,0,0,1,16,1,66,0,195,2,1935,4,238,3,339900,34133,2314
Kapellen,2950,house,625000,3,171,1,0,0,0,0,0,1,503,4,2002,4,254,3,365250,33995,3654
Zandhoven,2240,house,549000,4,212,0,0,0,0,1,451,0,603,4,1995,4,213,3,360000,32179,2589
Roeselare,8800,house,995000,5,550,0,0,0,0,0,0,0,452,4,1939,5,185,3,238106,28720,1809
Ixelles,1050,apartment,995000,4,226,1,0,1,2,0,0,0,0,2,1950,0,456,3,350000,23014,4402
Moorslede,8890,house,559000,4,242,0,0,0,0,0,0,0,727,3,1990,5,195,5,250000,29887,2309
Zonhoven,3520,house,345000,6,282,0,0,0,0,0,0,0,1170,4,1936,2,466,1,297500,31666,1223
Hamme,9220,villa,995000,4,354,0,0,0,0,0,0,0,1133,4,2009,6,89,5,260000,29245,2810
Tienen,3300,house,315000,3,194,0,0,0,0,1,25,0,150,2,1936,2,466,1,249000,29289,1623
Brugge,8000,penthouse,1130000,3,281,1,0,1,176,1,176,0,0,3,2012,5,130,3,310000,29506,4021
Willebroek,2830,duplex,595000,6,280,1,0,1,220,0,0,0,0,3,1968,5,186,3,286750,29939,2125
Lommel,3920,house,525000,3,197,1,0,0,0,0,0,0,923,4,2023,6,83,3,285000,30215,2664
Saint-gilles,1060,triplex,1650000,3,254,1,0,1,3,0,0,0,0,2,1877,2,244,3,291000,20648,6496
Ixelles,1050,penthouse,1700000,3,200,1,0,1,145,0,0,0,0,4,1977,4,143,4,350000,23014,8500
Haaltert,9450,house,199000,3,221,1,0,0,0,0,0,0,334,3,1919,1,569,1,283500,32791,900
Zele,9240,house,580000,4,185,1,0,0,0,1,800,0,1142,4,2003,4,212,3,275000,29536,3135
Koksijde,8670,apartment,1750000,14,570,0,0,0,0,0,0,0,0,4,1980,5,118,3,300000,30348,3070
Kalmthout,2920,villa,749000,3,250,1,0,0,0,0,0,0,1000,4,2016,6,54,5,400000,33167,2996
Ixelles,1050,penthouse,2350000,3,386,1,0,1,71,0,0,0,0,2,2021,3,165,3,350000,23014,6088
Gent,9000,apartment,335000,2,76,1,0,1,6,0,0,0,0,2,2011,6,93,3,335000,27,4407
Bruxelles,1000,penthouse,1290000,4,540,1,0,1,45,0,0,1,0,3,1970,2,270,5,275000,21541,2388
Antwerpen,2000,apartment,349500,1,64,1,0,0,0,0,0,0,0,2,2021,6,26,5,260000,25683,5460
Molenbeek-saint-jean,1080,loft,895000,3,304,1,0,1,10,0,0,0,0,3,1949,5,88,5,215000,21062,2944
Bruxelles,1000,loft,895000,3,304,1,0,1,10,0,0,0,0,3,1949,5,88,5,275000,21541,2944
Fayt-lez-manage,7170,house,199000,5,289,0,0,0,0,0,0,0,210,3,1900,3,338,3,165000,24456,688
Merelbeke,9820,villa,729000,4,217,1,0,1,65,1,600,0,899,4,1998,5,158,5,375000,34972,3359
Damme,8340,villa,999999,5,550,1,0,1,50,0,0,0,2563,4,1976,4,228,1,375000,31561,1818
Riemst,3770,house,399000,3,390,1,0,0,0,1,436,0,559,4,2023,6,34,5,263750,30331,1023
Buggenhout,9255,house,279000,3,290,0,0,0,0,0,0,0,359,3,1960,2,402,1,327500,33340,962
Aalter,9880,villa,748000,4,286,0,0,0,0,0,0,0,3632,4,1979,3,338,2,339500,31959,2615
Mechelen,2800,house,385000,2,100,1,0,0,0,1,40,0,100,2,1950,4,214,4,312500,29870,3850
Erpe-mere,9420,villa,429000,4,245,0,0,0,0,1,800,0,1021,4,1975,3,348,1,287580,32874,1751
