Locality,Zip Code,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Median Price per Commune,Median Revenue per Commune,Price/m2
Embourg,4053,house,400000,3,144,1,0,0,0,0,0,0,998,4,1970,2,368,0,269500,30998,2777
Kontich,2550,apartment,242500,2,85,1,0,0,0,0,0,0,0,2,1975,4,219,5,359000,33894,2852
Kruibekebazel,9150,apartment,230000,2,82,0,0,1,8,0,0,0,0,2,1974,5,173,3,275000,31455,2804
Ganshoren,1083,town-house,419000,3,145,1,0,0,0,1,100,0,272,3,1964,0,499,3,220000,23789,2889
Wuustwezelloenhout,2990,house,425000,5,290,0,0,1,50,1,125,0,415,3,1942,1,518,2,346000,30687,1465
Turnhout,2300,apartment,215000,2,87,1,0,0,0,0,0,0,0,3,1971,4,224,4,250000,27404,2471
Oostende,8400,house,309000,5,185,1,0,0,0,0,0,0,78,2,1918,3,328,2,235000,25991,1670
Jodoigne,1370,house,325000,3,244,1,0,1,50,1,348,0,435,3,1970,2,347,3,282500,28112,1331
Menen,8930,house,179000,2,106,0,0,1,90,0,0,0,500,2,1930,1,574,1,180000,26819,1688
Kontich,2550,villa,659000,4,230,1,1,0,0,1,542,0,678,4,1983,4,262,5,359000,33894,2865
Bruxelles,1000,apartment,410000,1,69,1,0,1,4,0,0,0,0,2,2018,4,125,5,275000,21541,5942
Bruxelles,1000,ground-floor,680000,3,208,1,0,1,40,1,650,0,0,3,1952,0,412,1,275000,21541,3269
Eeklo,9900,house,249000,3,169,1,0,0,0,1,280,0,360,3,1963,3,321,2,250000,27380,1473
Overijse,3090,apartment,425000,2,93,1,0,1,8,0,0,0,0,2,2016,6,60,3,517500,33781,4569
Ixelles,1050,apartment,780000,2,235,1,0,0,0,0,0,0,0,2,1936,3,173,3,350000,23014,3319
Uccle,1180,apartment,430000,1,75,1,0,1,18,0,0,0,0,2,2017,5,52,5,390000,26467,5733
Rochefort,5580,apartment,170000,2,105,1,0,0,0,0,0,0,0,2,1976,5,163,3,172500,26283,1619
Heist-aan-zee,8301,apartment,475000,2,66,1,0,1,4,0,0,0,0,2,2012,6,77,3,592500,28601,7196
Woluwe-saint-pierre,1150,apartment,1600000,4,290,1,0,0,0,0,0,0,0,2,1948,3,176,4,465000,29516,5517
Molenbeek-sint-jan,1080,apartment,260000,2,105,0,0,1,9,0,0,0,0,2,2008,3,170,3,215000,21062,2476
Forest,1190,house,945000,4,303,1,0,1,8,1,55,0,192,2,2011,6,36,5,280000,22908,3118
Mons,7000,apartment,169000,2,75,0,0,0,0,0,0,0,0,4,1967,4,223,2,170000,24834,2253
Vleteren,8640,house,349000,4,442,0,0,0,0,0,0,0,500,3,1958,3,370,1,283000,28076,789
La-hulpe,1310,apartment,375000,3,114,1,0,1,16,0,0,0,0,2,1918,5,103,3,450000,29267,3289
Hamme,9220,house,350000,3,362,0,0,0,0,0,0,0,112,2,1850,5,196,3,260000,29245,966
Beveren-waas,9120,apartment,229000,3,128,1,0,0,0,0,0,0,0,2,1963,3,393,2,296500,32302,1789
Roeselare,8800,apartment,185000,2,72,1,0,0,0,0,0,0,0,2,2012,6,91,5,238106,28720,2569
Kortrijk,8500,apartment,425000,2,129,1,0,1,36,0,0,0,0,2,2019,6,77,5,265000,28248,3294
Neupre,4120,house,469000,4,220,1,0,0,0,0,0,0,1000,4,2016,5,121,5,310000,35628,2131
Bruxelles,1000,apartment,435000,2,110,1,0,1,25,0,0,0,0,2,1929,1,298,3,275000,21541,3954
Oud-turnhout,2360,house,399000,4,220,0,0,0,0,0,0,0,1648,4,1958,2,493,3,330000,32681,1813
Keumice,5060,house,430000,3,153,1,0,0,0,1,215,0,390,2,1918,5,169,5,190000,25634,2810
Saint-gilles,1060,duplex,445000,2,145,1,0,1,7,0,0,0,0,2,1927,2,272,3,291000,20648,3068
Begijnendijk,3130,house,619000,4,295,1,0,0,0,0,0,0,576,3,2012,6,76,5,330000,33342,2098
Dendermonde,9200,apartment,234950,1,56,1,0,0,0,0,0,0,0,2,2024,6,33,4,265000,30172,4195
