Standardized Median Revenue per Commune,Standardized Median Price per Commune,Standardized Livable Space (m2),Standardized Subtype of Property Score,Standardized State of the Building Score,Standardized PEB Score,Standardized Primary Energy Consumption (kWh/m2),Standardized Surface of the Land (m2),Standardized Construction Year,Standardized Number of Rooms,Standardized Number of Facades
-0.841,-0.963,-0.259,-0.379,-0.832,-2.792,1.212,-0.239,-0.08,-0.005,0.212
1.141,-0.393,-0.418,-0.285,1.167,-0.075,-0.983,0.111,1.219,-0.005,-0.946
0.055,0.14,0.117,2.989,-0.832,-0.402,-0.109,-0.511,0.455,-0.005,1.37
0.247,2.039,1.479,-0.565,1.167,-1.138,-0.043,-0.519,-0.946,-0.005,-0.946
0.218,-0.596,0.333,-0.285,-0.832,0.268,-1.451,-0.215,1.372,-0.005,1.37
-0.988,0.63,0.446,-0.565,-0.832,-0.402,-0.499,-0.519,-0.946,-0.005,-0.946
-0.475,-1.165,0.023,-0.285,0.021,1.279,-0.01,-0.287,-0.182,-0.752,-0.946
-0.864,0.305,-0.728,1.399,-0.832,-0.075,-1.06,-0.519,1.193,-0.752,-0.946
-0.751,-1.882,-0.973,-0.565,-0.832,-0.075,-0.598,-0.519,1.372,-0.752,-0.946
0.371,-0.412,0.098,-0.285,0.134,-1.138,1.184,-0.236,-0.717,-0.005,-0.946
0.306,-0.301,-0.287,-0.285,0.566,-0.075,-0.67,-0.06,-0.793,-0.005,1.37
-0.658,-1.533,1.47,-0.285,1.167,1.279,-0.593,0.097,-2.984,1.487,-0.946
0.645,1.059,-0.71,-0.565,-0.832,-0.075,-0.774,-0.519,0.48,-0.752,-0.946
0.27,-0.608,-0.165,-0.285,-0.832,-2.792,1.36,0.351,-0.055,-0.005,1.37
1.058,0.483,-0.907,0.819,1.167,0.268,-1.528,-0.519,1.372,-1.498,1.37
0.371,-0.412,-0.287,-0.285,0.021,0.521,1.745,-0.39,-0.258,-0.752,0.212
-0.771,-0.504,-0.963,-0.565,1.167,-0.075,-1.203,-0.519,1.219,-1.498,1.37
0.005,-1.208,-0.014,-0.285,-0.832,-0.075,-0.615,-0.145,1.015,0.741,-0.946
0.461,-0.289,-0.155,-0.285,-0.832,-0.402,0.573,0.216,0.48,-0.005,1.37
0.622,0.287,1.677,-0.285,-0.832,1.279,-0.378,-0.089,-0.309,1.487,0.212
0.423,0.677,0.681,2.989,0.566,1.279,-0.18,0.499,0.124,1.487,1.37
-0.109,-1.196,-0.09,-0.285,0.134,-2.792,2.939,0.322,-0.742,-0.005,1.37
1.244,0.636,-0.108,-0.285,-0.832,1.279,0.111,0.274,0.506,-0.005,0.212
-0.332,1.12,-0.888,-0.565,-0.832,-0.402,-0.642,-0.519,0.174,-0.752,-0.946
0.46,-0.473,0.7,-0.285,-0.832,0.268,-1.17,0.482,1.219,1.487,1.37
1.658,1.059,0.07,-0.285,1.167,1.279,-0.373,0.354,-0.182,-0.752,0.212
-0.505,-1.227,-0.212,-0.285,-0.832,-0.075,-0.714,-0.363,-1.226,0.741,0.212
-1.197,-0.289,0.343,-0.285,0.021,0.521,0.326,-0.463,-0.87,0.741,-0.946
0.203,-0.608,0.164,-0.285,1.167,0.268,-1.181,0.006,-0.921,-0.752,0.212
1.123,0.506,-1.02,-0.565,1.167,0.268,-1.357,-0.519,1.372,-1.498,-0.946
0.928,-0.105,-0.409,-0.285,-0.832,1.279,-0.356,-0.161,-1.965,-0.752,0.212
-5.352,0.446,0.08,-0.285,1.167,-0.075,-0.84,-0.299,0.913,-0.005,-0.946
-0.191,0.863,-0.869,-0.565,1.167,0.268,-1.286,-0.519,1.448,-0.752,-0.946
0.263,-0.473,0.22,-0.285,0.566,0.268,-1.066,2.185,-1.736,1.487,-0.946
0.312,-1.141,0.258,2.989,1.167,-0.075,-0.78,0.925,0.913,0.741,1.37
-5.352,0.446,-0.437,-0.565,1.167,0.268,-1.093,-0.519,0.964,-0.005,-0.946
0.267,-0.167,-0.306,-0.285,-0.832,-2.792,1.525,-0.096,-0.615,-0.752,0.212
-0.475,-1.165,-0.306,-0.285,1.167,1.279,-0.351,-0.328,-0.946,-0.005,-0.946
-0.988,0.63,-0.005,-0.565,-0.832,-0.402,-0.455,-0.519,-0.411,-0.005,-0.946
1.102,1.641,0.352,-0.285,-0.832,1.279,0.062,1.049,0.124,0.741,1.37
0.555,2.162,-1.114,-0.565,1.167,0.268,-1.253,-0.519,1.448,-1.498,-0.946
-1.04,-1.576,-0.738,-0.565,-0.832,-0.402,-0.004,-0.519,-0.742,-0.752,-0.946
0.245,0.14,-0.268,-0.285,-0.832,1.279,-0.23,-0.453,-1.71,-0.005,-0.946
0.847,1.059,-1.057,-0.285,0.134,0.521,3.423,1.086,0.862,-0.752,1.37
-1.267,-0.289,-1.236,-0.939,0.021,-2.792,0.893,-0.519,-0.004,-1.498,-0.946
-0.988,0.63,-0.907,-0.565,0.134,-2.792,0.843,-0.519,-0.233,-0.752,-0.946
0.996,1.549,-0.465,-0.565,-0.832,0.268,-1.077,-0.519,1.193,-0.005,-0.946
0.567,-0.167,-0.4,-0.285,0.134,0.521,3.703,0.306,-0.335,1.487,1.37
0.034,-0.926,0.803,-0.285,0.134,-1.138,1.008,1.074,0.225,0.741,1.37
-0.766,-1.257,-0.343,-0.565,1.167,-0.075,-0.994,-0.519,1.448,-0.752,0.212
-0.459,-1.368,-0.428,-0.285,0.566,-0.402,0.062,-0.147,-1.736,0.741,-0.946
0.009,-0.412,-0.813,-0.565,-0.832,1.279,-0.274,-0.519,-0.004,-0.752,-0.946
-0.423,-0.779,-0.634,-0.285,1.167,1.279,-0.422,-0.441,-0.946,0.741,-0.946
-1.358,-1.024,-0.869,-0.565,-0.832,-0.402,-0.576,-0.519,0.073,-1.498,-0.946
1.112,0.232,0.183,-0.285,-0.832,-0.075,-0.73,0.393,1.244,-0.005,0.212
0.22,-0.963,0.108,-0.285,1.167,-0.075,-0.664,-0.146,0.888,-0.005,0.212
0.856,0.287,-0.418,-0.285,0.021,1.279,0.056,-0.287,-0.411,-0.005,-0.946
0.883,0.936,0.127,-0.285,0.134,0.521,1.938,0.014,0.022,-0.005,0.212
1.287,0.232,-0.043,-0.285,1.167,1.279,-0.164,-0.181,-0.819,0.741,0.212
-1.197,-0.289,-0.794,-0.565,0.134,-0.075,-1.022,-0.519,0.073,-0.752,0.212
-1.306,-0.963,-1.104,-0.565,1.167,0.521,0.117,-0.519,0.047,-1.498,-0.946
0.514,0.17,0.183,-0.285,-0.832,-0.402,0.265,1.992,0.073,0.741,1.37
-1.267,-0.289,-0.728,-0.565,1.167,0.268,-1.286,-0.519,1.397,-0.752,1.37
-5.352,0.446,0.07,-0.285,1.167,0.268,-1.159,-0.388,-1.736,0.741,-0.946
0.562,0.392,0.54,2.989,0.134,-0.402,0.628,2.471,-1.023,-0.005,1.37
-0.817,-1.76,-0.775,-0.565,-0.832,-1.138,-0.026,-0.519,0.073,-1.498,-0.946
-0.927,-1.643,-0.522,-0.285,1.167,1.279,-0.175,-0.189,-0.437,-0.752,-0.946
1.156,1.243,5.059,2.989,-0.832,-0.075,-0.972,3.552,0.837,1.487,1.37
-1.306,-0.963,-0.888,-0.565,-0.832,-0.402,-0.554,-0.519,1.015,-0.752,1.37
-1.008,-0.228,1.423,-0.379,-0.832,-1.138,-0.169,-0.31,-0.946,1.487,-0.946
0.725,0.385,-0.766,-0.565,-0.832,0.268,-1.231,-0.519,1.346,-1.498,-0.946
-0.864,0.305,-0.052,-0.565,-0.832,-0.402,-0.4,-0.519,-0.921,-0.005,0.212
-0.714,-1.637,0.098,-0.285,-0.832,-0.402,0.26,-0.444,-1.736,0.741,0.212
-0.771,-0.504,-1.038,-0.565,1.167,1.279,-1.0,-0.519,1.27,-1.498,1.37
-0.423,-0.779,0.775,-0.285,0.134,-0.402,0.144,-0.364,-2.067,-0.005,1.37
1.501,1.013,-0.24,-0.285,0.134,0.521,1.294,-0.158,-0.87,-0.752,0.212
-1.358,-1.024,-0.785,0.819,1.167,-1.138,-0.323,-0.519,1.066,-0.752,-0.946
0.973,0.354,-0.879,0.819,1.167,0.268,-1.0,-0.519,1.321,-0.752,-0.946
0.442,-0.779,-0.465,-0.285,0.134,0.521,2.796,-0.363,-1.252,-0.005,-0.946
-0.893,-1.821,-0.644,-0.565,-0.832,-0.075,-0.934,-0.519,1.295,-0.752,-0.946
0.841,0.936,1.432,-0.285,0.134,0.521,3.874,1.64,-0.106,0.741,1.37
0.347,-0.632,0.634,-0.285,0.021,1.279,-0.087,0.504,0.684,-0.005,1.37
0.44,-0.473,0.671,-0.285,-0.832,-0.075,-0.576,-0.197,0.557,-0.005,-0.946
0.981,2.337,0.869,-0.285,-0.832,-0.402,0.304,2.061,-0.411,1.487,1.37
-0.083,-0.497,-0.869,-0.565,-0.832,1.279,-0.29,-0.519,-0.106,-0.752,-0.946
-1.04,-1.576,-0.137,-0.285,-0.832,-0.402,0.304,-0.395,0.2,2.98,-0.946
-5.352,0.446,-0.005,-0.285,0.566,-0.075,-0.796,-0.39,-1.252,0.741,-0.946
0.889,0.863,0.277,-0.285,1.167,-0.075,-0.829,-0.156,-0.488,-0.005,0.212
0.171,0.14,0.728,2.989,1.167,1.279,-0.098,1.454,0.684,1.487,1.37
0.327,-0.145,0.7,-0.285,-0.832,1.279,-0.054,0.527,0.404,-0.005,1.37
-0.481,-0.473,-0.747,-0.565,-0.832,-0.075,-0.725,-0.519,-0.284,-0.752,-0.946
0.555,2.162,0.399,-0.285,1.167,0.268,-1.214,-0.129,1.448,0.741,0.212
0.26,-0.473,-0.86,-0.565,0.566,1.279,-0.092,-0.519,1.015,-0.752,-0.946
0.595,0.201,-0.052,-0.285,0.134,0.521,1.635,0.249,-0.106,0.741,0.212
0.13,-0.473,-0.071,-0.285,-0.832,-0.075,-0.697,-0.347,1.015,-0.005,-0.946
-0.768,-0.779,-0.916,-0.565,0.021,-2.792,1.157,-0.519,0.073,-0.752,0.212
0.65,-0.044,0.634,-0.285,1.167,0.268,-1.478,-0.06,1.448,0.741,0.212
0.65,-0.044,-0.832,0.819,-0.832,-0.075,-0.78,-0.519,1.117,-0.752,-0.946
0.806,-0.412,-0.7,-0.285,0.021,0.521,1.415,-0.25,-0.437,-0.752,1.37
0.344,-0.933,-0.531,-0.285,-0.832,0.268,-1.209,-0.236,-0.106,-0.005,-0.946
-0.332,1.12,-0.165,-0.565,-0.832,-2.792,0.667,-0.519,-0.742,-0.005,-0.946
-1.437,-0.093,0.765,0.674,1.167,-1.138,-0.191,-0.519,-2.296,-0.005,-0.946
0.394,-0.044,0.925,-0.285,1.167,0.268,-1.225,-0.094,1.168,-0.005,1.37
0.885,2.836,0.211,-0.285,1.167,1.279,-0.202,-0.195,-0.233,0.741,-0.946
0.043,0.789,-1.076,-0.565,0.021,-0.402,-1.346,-0.519,0.251,-1.498,-2.104
-5.352,0.446,-1.208,-0.285,-0.832,-0.075,-0.73,-0.503,-2.372,-1.498,-0.946
-0.332,1.12,0.07,-0.285,1.167,1.279,-0.961,-0.272,-0.997,-0.005,-0.946
0.885,0.018,0.023,-0.285,0.021,1.279,-0.246,0.19,0.429,-0.005,0.212
-0.988,0.63,-1.038,-0.565,1.167,1.279,-0.763,-0.519,-1.456,-1.498,-0.946
0.043,0.789,-0.869,0.819,1.167,1.279,-0.972,-0.519,-0.437,-0.752,0.212
-0.864,0.305,-0.334,1.399,1.167,0.268,-1.335,-0.519,1.448,-0.752,-0.946
0.891,0.765,-1.01,-0.565,-0.832,-0.402,0.386,-0.519,0.327,-1.498,-0.946
-1.267,-0.289,-0.869,1.399,1.167,-2.792,1.899,-0.519,-0.437,-0.752,-0.946
-0.083,-0.497,0.192,-0.285,0.134,-0.402,0.238,-0.32,-0.462,-0.752,-2.104
0.635,0.936,1.536,2.989,1.167,-0.075,-0.571,0.434,0.913,0.741,1.37
0.431,0.507,0.23,2.989,1.167,-0.075,-0.884,0.059,0.811,0.741,1.37
1.575,0.998,0.465,2.989,0.021,1.279,-0.07,-0.002,0.225,1.487,1.37
0.378,-0.167,-0.494,-0.379,-0.832,-0.402,0.221,-0.32,-0.004,-0.005,-0.946
0.569,0.501,-0.691,-0.565,-0.832,-0.075,-0.433,-0.519,0.2,-0.005,0.212
-0.383,-1.447,-0.137,-0.285,1.167,-1.138,0.738,0.059,-1.71,0.741,1.37
0.69,-0.596,0.108,-0.285,0.134,-0.402,0.661,-0.11,-2.984,-0.005,-0.946
0.247,2.039,-0.541,-0.565,-0.832,-0.402,-0.576,-0.519,-0.768,-0.005,-0.946
0.923,1.549,0.446,-0.285,1.167,-0.075,-0.939,-0.137,1.066,0.741,0.212
1.149,2.37,0.643,-0.285,0.134,0.521,2.295,0.176,-0.233,1.487,1.37
0.866,1.194,0.202,-0.285,0.021,1.279,-0.032,0.007,0.047,-0.005,-0.946
0.203,-0.608,-0.86,-0.565,0.134,1.279,-0.422,-0.519,0.124,-0.752,1.37
0.589,-0.219,-0.804,-0.565,1.167,0.521,1.492,-0.519,-0.87,-1.498,0.212
0.378,-0.167,1.057,-0.285,0.134,-0.402,0.155,0.566,0.174,0.741,1.37
-1.04,-1.576,0.089,-0.285,-0.832,-0.075,-0.703,-0.227,-0.768,0.741,-0.946
1.309,0.753,0.258,2.989,-0.832,-0.075,-0.461,0.275,0.76,0.741,1.37
-1.04,-1.576,-1.057,-0.565,1.167,0.268,-1.258,-0.519,1.448,-1.498,1.37
0.996,1.549,-0.898,1.629,1.167,-0.075,-0.967,-0.519,1.27,-1.498,-0.946
0.281,-0.13,0.38,-0.285,1.167,-0.402,0.535,0.4,-0.131,-0.005,0.212
1.058,0.483,2.419,-0.285,0.021,1.279,-0.356,-0.2,0.149,-0.005,-0.946
-0.988,0.63,-1.339,-0.939,-0.832,-2.792,1.784,-0.519,-0.895,-1.498,-0.946
0.101,-0.779,-0.202,-0.285,-0.832,-1.138,0.711,0.348,-1.736,-0.752,0.212
0.779,-0.473,-0.494,-0.285,-0.832,-0.402,0.667,0.221,-2.347,-0.005,0.212
0.13,-0.473,0.681,2.989,1.167,-0.402,0.051,0.088,0.174,0.741,1.37
1.049,2.468,2.588,2.989,-0.832,1.279,-0.092,3.43,0.327,0.741,1.37
-0.176,-1.208,-1.189,-0.939,-0.832,-0.402,0.546,-0.519,0.073,-1.498,0.212
0.461,-0.289,-0.043,-0.285,0.134,0.521,2.246,0.691,-0.513,-0.005,0.212
0.461,-0.289,1.235,-0.285,1.167,-0.075,-0.477,-0.211,-1.226,-0.005,0.212
0.417,-0.056,-0.277,-0.285,-0.832,0.521,3.577,0.379,-0.819,0.741,1.37
0.595,0.201,0.004,-0.285,0.134,0.521,2.752,1.005,0.047,0.741,1.37
0.379,-0.167,-0.118,-0.285,0.021,-1.138,0.738,0.681,0.225,-0.005,1.37
-0.988,0.63,-0.907,0.819,1.167,0.521,0.265,-0.519,0.327,-0.752,-0.946
1.056,2.683,0.033,-0.285,-0.832,1.279,-0.186,0.272,0.582,0.741,1.37
0.203,-0.608,-0.653,-0.285,-0.832,-1.138,0.964,-0.19,-0.411,-0.752,1.37
-0.768,-0.779,-0.775,-0.565,-0.832,1.279,-0.758,-0.519,0.709,-0.752,0.212
-0.642,-1.576,-0.916,-0.565,-0.832,-2.792,1.525,-0.519,0.047,-0.752,1.37
0.315,-1.024,-0.118,-0.285,1.167,-0.402,0.249,-0.414,-2.984,-0.752,0.212
0.097,-0.473,0.54,-0.285,-0.832,-0.402,0.265,1.428,-1.532,1.487,-0.946
0.719,0.017,-0.681,-0.285,0.134,-1.138,0.364,0.445,0.149,-0.005,1.37
0.331,-0.718,-0.888,-0.565,0.566,-0.075,-1.016,-0.519,-1.226,-0.752,1.37
0.064,-0.479,0.277,2.989,-0.832,-2.792,1.718,3.444,-1.965,1.487,1.37
0.358,0.118,-0.193,-0.285,-0.832,-0.075,-0.505,0.079,-0.87,0.741,-0.946
-0.771,-0.504,-0.719,0.674,1.167,-0.075,-1.242,-0.519,1.448,-0.752,-0.946
0.923,1.549,-0.155,-0.285,0.134,0.521,2.449,3.102,-0.106,0.741,1.37
-1.267,-0.289,-0.597,-0.565,1.167,-0.402,-0.56,-0.519,0.582,-0.752,-0.946
0.635,0.936,-0.663,-0.565,-0.832,-0.075,-0.923,-0.519,1.066,-0.752,-0.946
-0.063,-0.442,-0.569,0.819,1.167,-0.075,-0.829,-0.519,1.219,-0.752,0.212
0.689,0.385,0.869,-0.285,0.021,-0.402,0.1,1.927,0.735,0.741,1.37
-1.358,-1.024,-0.747,-0.565,-0.832,-1.138,-0.373,-0.519,0.073,-0.752,-0.946
-1.08,-0.841,-0.531,-0.565,1.167,1.279,-0.851,-0.519,0.913,-0.005,-0.946
0.263,-1.27,0.39,-0.285,-0.832,-1.138,0.804,0.331,-1.252,0.741,1.37
-1.267,-0.289,-1.358,-0.565,1.167,0.521,-0.015,-0.519,-0.029,-1.498,-0.946
-5.352,0.446,0.596,-0.285,0.134,0.521,2.499,-0.409,-1.965,-0.005,1.37
0.247,-0.596,0.258,2.989,0.134,-2.792,1.58,0.236,-0.157,-0.005,1.37
-1.197,-0.289,-0.559,-0.565,0.134,0.521,0.045,-0.519,-0.233,-0.752,0.212
0.095,-0.741,-0.23,-0.285,1.167,-0.402,0.43,-0.309,-1.201,-0.752,1.37
1.097,0.817,-0.4,-0.565,1.167,-0.075,-0.928,-0.519,0.862,-0.752,-0.946
-0.622,-1.495,-0.193,-1.577,1.167,1.279,-0.582,-0.519,1.219,-1.498,-0.946
-0.166,-0.473,-1.01,-0.565,-0.832,0.268,-1.242,-0.519,1.244,-0.752,-0.946
0.775,-0.026,0.812,-0.285,-0.832,1.279,-0.142,0.526,0.225,0.741,1.37
1.123,0.506,-0.165,-0.285,0.134,0.521,1.305,-0.272,-0.208,-0.005,-0.946
0.745,0.765,0.258,-0.285,0.134,0.521,1.272,4.125,0.302,-0.005,1.37
0.478,-0.05,-0.137,-0.285,0.134,0.521,1.267,0.415,-0.258,-0.005,1.37
0.13,-0.473,-0.822,-0.565,0.134,-0.402,0.331,-0.519,0.225,-0.752,0.212
-0.191,0.863,-0.86,-0.565,0.134,-0.402,-0.527,-0.519,-0.182,-0.752,-0.946
-1.04,-1.576,-1.001,-0.565,0.134,-0.075,-0.604,-0.519,0.073,-1.498,-0.946
0.378,-0.167,-1.32,-0.939,-0.832,-0.075,-0.615,-0.519,0.098,-1.498,-0.946
0.931,1.292,-0.447,-0.285,1.167,-0.402,0.243,-0.274,-0.946,-0.752,0.212
0.705,-0.329,-0.55,2.989,-0.832,-0.402,0.089,0.137,0.837,-0.005,1.37
0.436,0.753,0.249,-0.285,0.134,0.521,1.008,0.069,-2.372,-0.005,1.37
-0.295,-0.841,-0.315,0.819,1.167,0.268,-1.082,-0.519,1.448,-0.005,0.212
0.371,-0.412,1.63,2.989,-0.832,1.279,-0.373,1.266,0.735,1.487,1.37
-0.988,0.63,-0.522,-0.565,1.167,-1.138,-0.301,-0.519,-0.793,-0.752,0.212
-0.295,-0.841,-0.165,-0.285,-0.832,-0.402,-0.114,-0.211,-0.895,1.487,0.212
-1.197,-0.289,2.287,-0.285,-0.832,-1.138,-0.037,-0.323,-0.819,2.234,-0.946
0.74,1.059,-0.588,-0.565,-0.832,0.521,1.718,-0.519,-0.029,-0.752,-0.946
0.246,0.998,0.427,-0.285,-0.832,-1.138,0.992,0.673,-1.252,-0.005,1.37
0.403,-0.081,1.705,-0.285,-0.832,-0.402,0.337,-0.293,-1.71,0.741,0.212
0.61,-0.657,0.239,-0.285,0.021,-0.402,0.221,0.265,0.48,0.741,1.37
0.195,-0.473,-0.437,-0.285,1.167,-0.075,-0.719,0.399,0.837,-0.005,1.37
0.529,-1.086,-0.324,-1.577,1.167,-0.402,0.282,-0.519,-0.921,-0.752,-0.946
0.13,-0.473,0.831,-0.285,0.021,-0.402,0.133,0.203,0.073,1.487,1.37
0.674,-0.044,-0.822,-0.565,0.134,-0.075,-0.571,-0.519,0.2,-0.752,-0.946
-0.332,-1.331,0.333,-0.285,1.167,0.268,-1.187,-0.106,1.448,-0.005,0.212
-1.04,-1.576,-0.681,-0.285,-0.832,0.521,0.837,-0.354,-0.182,-0.005,-0.946
0.314,0.17,-0.888,-0.565,-0.832,1.279,-0.4,-0.519,1.091,-1.498,-0.946
0.847,0.385,-0.24,-0.285,0.134,0.521,2.031,0.404,-0.131,-0.005,1.37
0.962,2.713,-0.118,-0.285,1.167,1.279,-0.241,-0.21,-0.233,0.741,0.212
-0.476,-0.779,-1.076,-0.565,-0.832,-0.075,-0.758,-0.519,0.353,-1.498,-0.946
0.333,-0.608,0.098,-0.285,-0.832,-0.075,-0.95,-0.252,-0.208,-0.005,-0.946
-1.267,-0.289,-0.728,-0.565,1.167,0.268,-1.286,-0.519,1.473,-0.752,1.37
0.327,-0.145,-0.578,-0.565,-0.832,-0.075,-0.802,-0.519,0.811,-0.005,-0.946
0.469,0.581,-0.324,-0.285,0.134,-0.402,0.37,-0.303,-0.691,-0.005,0.212
0.503,-0.044,2.363,-0.285,0.134,1.279,0.062,0.254,-0.488,2.234,1.37
0.182,-0.675,0.333,-0.285,-0.832,-0.402,0.21,2.927,0.404,1.487,1.37
0.394,-0.044,1.771,2.989,1.167,-0.075,-0.466,0.564,0.073,0.741,1.37
-1.04,-1.576,-0.992,-0.565,0.134,-0.402,0.276,-0.519,-1.252,-1.498,0.212
0.005,-0.596,6.553,-0.285,-0.832,-1.138,1.052,0.26,-0.946,3.726,-0.946
0.333,-0.608,0.23,-0.285,-0.832,-0.402,0.188,-0.143,-0.029,0.741,0.212
0.095,-0.741,0.427,-0.285,0.134,0.521,2.037,-0.334,-0.946,0.741,-0.946
-0.988,0.63,1.855,1.399,-0.832,-1.138,-0.175,-0.519,0.633,0.741,-0.946
0.394,0.1,0.286,-0.285,-0.832,-0.402,0.139,-0.23,-0.258,-0.005,0.212
-0.988,0.63,-0.954,-0.565,1.167,-1.138,-0.224,-0.519,-0.997,-0.752,-0.946
0.095,-0.741,-0.55,-0.285,-0.832,-0.402,0.623,-0.348,0.124,-0.005,-0.946
1.049,2.468,0.935,2.989,-0.832,1.279,-0.098,1.546,0.327,1.487,1.37
0.258,-0.736,0.23,-0.285,0.021,0.521,2.823,-0.163,-0.106,-0.005,1.37
0.692,-0.35,1.404,-0.285,1.167,0.268,-0.983,0.211,1.142,1.487,1.37
0.043,0.789,-0.306,-0.285,0.021,-2.792,1.883,-0.349,-0.768,0.741,-0.946
-1.306,-0.963,-1.076,-0.565,-0.832,0.521,0.32,-0.519,-0.742,-0.752,-0.946
0.581,-0.105,0.606,-0.285,-0.832,1.279,-0.202,1.211,0.378,0.741,1.37
0.868,-0.185,-0.268,-0.285,-0.832,0.521,1.971,-0.378,-0.055,-0.752,-0.946
1.173,0.691,0.559,-0.285,0.566,0.268,-1.038,-0.263,-0.895,-0.005,-0.946
-0.749,-1.576,-0.428,-0.285,-0.832,1.279,-0.318,-0.306,-0.36,-0.005,-0.946
0.478,-0.05,0.671,-0.285,1.167,1.279,-0.224,-0.152,-0.386,-0.005,-0.946
-0.139,-1.086,0.145,2.989,-0.832,-0.075,-0.78,0.315,1.066,-0.005,1.37
-0.459,-1.368,0.352,-0.285,-0.832,-0.402,0.243,-0.343,0.073,0.741,-0.946
0.555,2.162,-0.306,-0.285,0.021,-0.402,0.172,-0.11,-0.309,-0.005,-0.946
0.043,0.789,-0.738,-0.565,1.167,0.268,-1.286,-0.519,1.473,-0.752,-0.946
0.405,-0.24,-0.268,-0.285,-0.832,-0.402,0.271,0.083,-1.965,0.741,-0.946
0.589,-0.219,1.292,-0.285,-0.832,0.521,3.588,2.835,0.073,1.487,1.37
-1.267,-0.289,-0.4,1.399,-0.832,1.279,-0.989,-0.519,1.219,-0.752,1.37
0.378,-0.167,1.104,-0.285,0.134,-1.138,1.157,0.016,-0.462,0.741,0.212
0.203,-0.608,0.446,-0.285,0.134,-0.402,0.667,-0.098,-1.252,-0.005,-0.946
0.847,0.385,5.125,1.061,1.167,-0.075,-0.587,1.505,0.913,1.487,1.37
-0.265,-1.453,0.841,2.989,1.167,0.268,-1.143,0.554,1.219,0.741,1.37
0.615,-0.289,-0.719,-0.565,-0.832,-0.075,-0.912,-0.519,0.964,-0.752,-0.946
0.779,-0.473,0.108,-0.285,0.134,0.521,2.477,-0.137,-0.258,-0.005,0.212
0.885,0.018,-0.221,-0.285,1.167,0.268,-1.297,-0.16,1.295,-0.005,0.212
0.31,-0.671,-0.681,-0.565,0.134,1.279,0.007,-0.519,-1.226,-0.005,0.212
1.173,0.691,0.484,-0.285,-0.832,-0.402,0.59,1.286,0.429,0.741,1.37
-0.988,0.63,-0.653,0.674,-0.832,-0.402,-0.637,-0.519,1.015,-1.498,-0.946
0.645,1.059,-0.212,-0.285,1.167,-0.075,-0.499,-0.203,-0.182,0.741,0.212
-0.481,-0.473,-1.132,-0.565,-0.832,1.279,0.04,-0.519,0.047,-1.498,-0.946
0.073,3.602,0.296,-0.285,1.167,-0.075,-0.549,0.139,0.76,-0.005,1.37
-0.739,-0.381,-0.353,-0.285,1.167,-2.792,0.601,-0.383,-0.36,-0.752,-0.946
-0.403,-0.877,-1.179,-0.565,-0.832,0.521,1.509,-0.519,-0.742,-1.498,-0.946
0.555,2.162,0.916,2.989,-0.832,-0.402,-0.043,0.169,0.124,1.487,1.37
-0.49,-1.331,0.709,-0.285,-0.832,-0.402,-0.037,0.412,-1.736,1.487,1.37
0.246,0.998,0.963,2.989,0.134,-0.402,0.408,1.023,0.251,0.741,1.37
-0.383,-1.331,-0.7,-0.285,-0.832,-2.792,2.202,0.131,-0.182,-0.752,0.212
-1.267,-0.289,-0.277,-0.565,1.167,0.268,-1.286,-0.519,1.422,-0.005,-0.946
0.034,-0.926,0.314,-0.285,1.167,0.268,-1.016,3.175,1.193,-0.005,1.37
-1.306,-0.963,-0.963,-0.565,1.167,0.268,-1.286,-0.519,1.397,-0.752,-0.946
0.216,-0.596,0.286,-0.285,-0.832,-0.402,0.271,0.616,0.251,-0.752,1.37
0.26,-0.473,1.104,-0.285,1.167,1.279,0.1,0.889,-0.819,-0.005,1.37
-0.797,-1.576,-0.437,-0.285,0.134,-0.402,0.106,-0.235,-0.946,-0.005,0.212
-5.352,0.446,-0.428,-0.285,0.134,0.521,3.439,-0.357,0.633,-0.005,-0.946
-0.766,-1.257,1.151,2.989,0.566,1.279,-0.131,0.894,-0.258,1.487,1.37
-0.191,0.863,-0.747,-0.565,1.167,-0.075,-1.214,-0.519,1.244,-0.752,-0.946
0.931,1.292,0.446,-0.285,0.021,0.521,3.027,-0.2,0.404,1.487,-0.946
0.152,0.017,-0.888,-0.565,-0.832,1.279,0.034,-0.519,0.073,-0.752,0.212
0.851,-1.085,0.737,-0.285,0.134,-0.402,0.331,0.026,-2.984,0.741,0.212
-1.08,-2.201,-0.681,-0.285,0.134,-2.792,2.532,-0.218,-0.564,-0.752,-0.946
1.629,1.12,0.935,2.989,-0.832,1.279,0.1,1.245,0.149,-0.005,1.37
0.56,-0.084,-0.362,-0.285,0.134,0.521,3.186,0.186,-0.131,-0.005,1.37
0.725,0.385,-1.245,-0.939,-0.832,-0.075,-0.78,-0.519,0.658,-1.498,-0.946
0.985,1.427,0.446,-0.285,-0.832,1.279,0.111,0.474,0.709,1.487,1.37
1.097,0.817,0.098,-0.285,-0.832,-0.075,-0.642,-0.293,0.48,1.487,-0.946
-0.988,0.63,2.09,1.399,1.167,1.279,-0.763,-0.519,0.633,1.487,1.37
0.263,-0.473,-0.625,-0.565,1.167,0.268,-1.099,-0.519,1.346,-0.752,0.212
0.645,1.059,2.222,2.989,0.134,0.521,3.544,0.808,-0.335,2.98,1.37
