Locality,Zip Code,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Median Price per Commune,Median Revenue per Commune,Price/m2,Subtype of Property Score,State of the Building Score,PEB Score
Bruxelles,1000,apartment,209000,3,75,1,0,1,4,0,0,0,0,2,1950,3,209,3,275000,21541,2786,26803.13784722222,28758.51106301106,28222.31623931624
Olen,2250,house,360000,2,158,0,0,0,0,0,0,0,783,4,1987,3,381,3,312000,31912,2278,29802.14056563951,28758.51106301106,28222.31623931624
Zele,9240,house,580000,4,185,1,0,0,0,1,800,0,1142,4,2003,4,212,3,275000,29536,3135,29802.14056563951,28758.51106301106,29068.10478029937
Ninove,9400,house,435000,4,152,1,0,0,0,0,0,0,836,4,2007,5,123,3,260000,29589,2861,29802.14056563951,28758.51106301106,29446.861588481188
Huy,4500,apartment,237000,2,85,0,0,1,15,0,0,0,0,2,2024,6,73,5,196000,24184,2788,26803.13784722222,28486.412584912407,29468.910848549946
Hulshout-houtvenne,2235,house,649000,3,223,1,0,0,0,0,0,0,495,3,2012,6,87,5,312500,30927,2910,29802.14056563951,28486.412584912407,29468.910848549946
Kortrijk,8500,apartment,275000,2,103,0,0,0,0,0,0,0,0,2,1980,5,108,3,265000,28248,2669,26803.13784722222,28758.51106301106,29446.861588481188
Anderlues,6150,villa,275000,2,310,1,0,0,0,0,0,0,825,4,1995,4,190,3,175200,25325,887,30737.61626429479,28758.51106301106,29068.10478029937
Deinze,9800,house,615000,4,251,1,0,0,0,0,0,0,2673,4,1968,3,392,3,320500,31900,2450,29802.14056563951,28758.51106301106,28222.31623931624
Gent,9000,apartment,1150000,2,215,0,0,1,8,0,0,0,0,2,1937,5,161,2,335000,27801,5348,26803.13784722222,28791.728096676736,29446.861588481188
Chapelle-lez-herlaimont,7160,villa,385000,4,231,1,0,0,0,0,0,1,2548,4,1954,3,302,3,176623,24942,1666,30737.61626429479,28758.51106301106,28222.31623931624
Ronse,9600,house,239000,4,160,1,0,1,25,1,100,0,230,2,1919,3,319,3,203500,25716,1493,29802.14056563951,28758.51106301106,28222.31623931624
Brecht,2960,house,289000,1,105,0,0,0,0,0,0,0,404,3,1960,3,385,2,385000,32680,2752,29802.14056563951,28791.728096676736,28222.31623931624
Tienen,3300,house,199000,2,122,0,0,0,0,1,43,0,107,2,1918,4,234,5,249000,29289,1631,29802.14056563951,28486.412584912407,29068.10478029937
Gistel,8470,house,189000,2,136,0,0,0,0,1,92,0,184,2,1946,1,552,1,280000,30301,1389,29802.14056563951,28927.5390070922,29144.322250639387
Sint-pieters-leeuw,1600,ground-floor,195000,1,71,1,0,0,0,0,0,0,0,2,1945,2,401,3,325000,29043,2746,28347.043859649122,28758.51106301106,27576.145009416196
Liege,4000,house,299000,4,113,1,0,1,20,0,0,0,75,2,1918,2,359,3,170000,22738,2646,29802.14056563951,28758.51106301106,27576.145009416196
Ixelles,1050,penthouse,525000,2,97,1,0,1,42,0,0,0,0,2,2013,5,68,3,350000,23014,5412,25996.018604651163,28758.51106301106,29446.861588481188
Uccle,1180,ground-floor,495000,3,138,1,0,1,7,0,0,0,0,3,1975,0,394,5,390000,26467,3586,28347.043859649122,28486.412584912407,25195.411320754716
Luingne,7700,house,329000,4,246,0,0,0,0,0,0,0,827,3,1962,2,400,2,173500,24752,1337,29802.14056563951,28791.728096676736,27576.145009416196
Liege,4000,apartment,199000,2,99,1,0,1,7,0,0,0,0,2,2010,4,99,3,170000,22738,2010,26803.13784722222,28758.51106301106,29068.10478029937
Lint,2547,house,535000,3,231,1,0,0,0,1,275,0,397,2,1998,5,151,5,370000,34512,2316,29802.14056563951,28486.412584912407,29446.861588481188
Oostrozebeke,8780,apartment,92500,1,70,1,0,0,0,0,0,0,0,2,1979,5,127,2,275000,29879,1321,26803.13784722222,28791.728096676736,29446.861588481188
Stekene,9190,house,375000,3,104,1,0,1,15,0,0,0,110,3,1978,2,493,2,295000,31641,3605,29802.14056563951,28791.728096676736,27576.145009416196
