Locality,Zip Code,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Median Price per Commune,Median Revenue per Commune,Price/m2,Subtype of Property Score,State of the Building Score,PEB Score
Deinze,9800,house,375000,4,223,0,0,0,0,0,0,0,450,3,1986,3,313,5,320500,31900,1681,29802.14056563951,28486.412584912407,28222.31623931624
Brussel,1000,house,1250000,6,365,1,0,1,65,0,0,0,300,2,1956,3,152,3,275000,21541,3424,29802.14056563951,28758.51106301106,28222.31623931624
Sint-laureins,9980,house,399000,3,150,1,0,0,0,0,0,0,268,3,2019,6,41,5,290000,31414,2660,29802.14056563951,28486.412584912407,29468.910848549946
Zelzate,9060,house,319000,3,135,1,0,0,0,0,0,0,115,2,2016,6,69,3,254000,29651,2362,29802.14056563951,28758.51106301106,29468.910848549946
Kapellen,2950,apartment,368000,1,133,1,0,1,28,0,0,0,0,2,2006,5,118,3,365250,33995,2766,26803.13784722222,28758.51106301106,29446.861588481188
Nazareth,9810,house,450000,4,171,0,0,0,0,1,300,0,635,3,1962,4,276,2,397500,32737,2631,29802.14056563951,28791.728096676736,29068.10478029937
Kortrijk,8500,house,345000,3,118,1,0,0,0,1,220,0,295,3,1987,4,230,5,265000,28248,2923,29802.14056563951,28486.412584912407,29068.10478029937
Mortsel,2640,apartment,259000,2,110,0,0,1,1,0,0,0,0,2,1982,5,120,3,339500,31213,2354,26803.13784722222,28758.51106301106,29446.861588481188
Woluwe-saint-lambert,1200,penthouse,1090000,4,215,1,1,1,45,0,0,0,0,3,2017,4,96,5,369000,27210,5069,25996.018604651163,28486.412584912407,29068.10478029937
Turnhout,2300,apartment,335000,3,192,0,0,0,0,0,0,0,0,2,1997,5,130,5,250000,27404,1744,26803.13784722222,28486.412584912407,29446.861588481188
Oostende,8400,apartment,270000,3,116,1,0,1,8,0,0,0,0,2,1967,5,163,3,235000,25991,2327,26803.13784722222,28758.51106301106,29446.861588481188
Ixelles,1050,apartment,560000,2,91,1,0,1,5,0,0,0,0,2,2024,6,30,5,350000,23014,6153,26803.13784722222,28486.412584912407,29468.910848549946
Villers-le-bouillet,4530,house,345000,4,140,1,0,1,12,1,951,0,974,4,2000,4,252,3,250805,30281,2464,29802.14056563951,28758.51106301106,29068.10478029937
Vleteren,8640,house,349000,4,442,0,0,0,0,0,0,0,500,3,1958,3,370,1,283000,28076,789,29802.14056563951,28927.5390070922,28222.31623931624
Meise,1860,house,1499000,5,404,0,0,1,33,0,0,0,1989,4,2024,5,121,5,427500,33981,3710,29802.14056563951,28486.412584912407,29446.861588481188
Middelkerke,8430,flat-studio,185000,1,34,1,1,0,0,0,0,0,0,2,1977,5,197,3,200000,27292,5441,25140.745098039217,28758.51106301106,29446.861588481188
Kontich,2550,house,1075000,3,266,0,0,1,58,0,0,0,2297,4,1961,4,236,3,359000,33894,4041,29802.14056563951,28758.51106301106,29068.10478029937
Brasschaat,2930,ground-floor,319000,1,84,1,0,0,0,0,0,0,0,2,2020,6,51,5,385000,31614,3797,28347.043859649122,28486.412584912407,29468.910848549946
Brussel,1000,apartment,350000,2,95,1,0,1,5,0,0,0,0,4,2025,6,45,5,275000,21541,3684,26803.13784722222,28486.412584912407,29468.910848549946
Uccle,1180,apartment,345000,3,102,0,0,1,12,0,0,0,0,2,1966,3,154,3,390000,26467,3382,26803.13784722222,28758.51106301106,28222.31623931624
Boutersem,3370,exceptional-property,1599000,3,396,1,0,1,1,1,1,1,2418,4,1910,6,99,5,384000,36120,4037,29278.095238095237,28486.412584912407,29468.910848549946
Butgenbach,4750,apartment,235000,2,64,0,0,0,0,0,0,0,0,4,2021,5,112,3,230000,27993,3671,26803.13784722222,28758.51106301106,29446.861588481188
Turnhout,2300,apartment,399000,2,209,0,0,1,70,0,0,0,0,3,1999,5,173,3,250000,27404,1909,26803.13784722222,28758.51106301106,29446.861588481188
Kortrijk,8500,house,495000,5,353,1,0,1,18,1,58,0,186,4,1935,5,154,5,265000,28248,1402,29802.14056563951,28486.412584912407,29446.861588481188
Tielt,8700,house,249000,3,157,0,0,1,30,1,131,0,284,2,1969,3,334,2,275000,29505,1585,29802.14056563951,28791.728096676736,28222.31623931624
Schilde,2970,villa,1690000,4,448,0,0,0,0,0,0,1,3827,4,1980,4,262,3,500000,33742,3772,30737.61626429479,28758.51106301106,29068.10478029937
Herent,3020,house,799000,5,243,1,0,0,0,0,0,1,1540,3,2019,6,62,5,380000,36516,3288,29802.14056563951,28486.412584912407,29468.910848549946
Watermael-boitsfort,1170,apartment,320000,2,90,1,0,1,13,0,0,0,0,3,1973,1,291,5,429500,26474,3555,26803.13784722222,28486.412584912407,29144.322250639387
Aalst,9300,house,339000,3,193,1,0,1,17,0,0,0,110,2,1930,4,245,3,265000,29669,1756,29802.14056563951,28758.51106301106,29068.10478029937
Oudenaarde,9700,house,265000,4,178,1,0,0,0,0,0,0,274,3,1954,4,255,2,275000,30647,1488,29802.14056563951,28791.728096676736,29068.10478029937
Zottegem,9620,villa,589000,3,182,0,0,0,0,0,0,1,3081,4,1969,3,301,3,260000,32118,3236,30737.61626429479,28758.51106301106,28222.31623931624
Bilzen,3740,house,595000,7,760,0,0,0,0,0,0,1,3443,4,1960,1,580,3,250000,30098,782,29802.14056563951,28758.51106301106,29144.322250639387
Geraardsbergen,9500,house,110000,2,120,0,0,0,0,0,0,0,191,2,1899,2,496,1,238500,29578,916,29802.14056563951,28927.5390070922,27576.145009416196
Herenthout,2270,house,179000,3,160,1,0,0,0,0,0,0,375,3,1955,1,881,1,300000,30024,1118,29802.14056563951,28927.5390070922,29144.322250639387
Oudenaarde,9700,house,280000,5,271,0,0,0,0,0,0,0,155,2,1910,3,360,2,275000,30647,1033,29802.14056563951,28791.728096676736,28222.31623931624
Ixelles,1050,house,1600000,5,342,1,0,1,40,1,190,0,365,2,1885,1,331,5,350000,23014,4678,29802.14056563951,28486.412584912407,29144.322250639387
La-louviere-haine-saint-pierre,7100,house,80000,2,100,1,0,1,8,1,20,0,49,3,1875,0,630,1,155000,23915,800,29802.14056563951,28927.5390070922,25195.411320754716
Aalst,9300,house,289000,3,136,1,0,0,0,1,30,0,101,2,1899,5,120,4,265000,29669,2125,29802.14056563951,28224.02819956616,29446.861588481188
Kortrijk,8500,apartment,260000,2,90,1,0,0,0,0,0,0,0,2,1966,5,142,3,265000,28248,2888,26803.13784722222,28758.51106301106,29446.861588481188
Waregem,8790,house,450000,3,208,1,0,0,0,0,0,0,379,4,1953,4,269,5,292000,30342,2163,29802.14056563951,28486.412584912407,29068.10478029937
Bruxelles,1000,apartment,590000,3,165,1,0,0,0,0,0,0,0,3,1994,2,266,3,275000,21541,3575,26803.13784722222,28758.51106301106,27576.145009416196
Uccle,1180,villa,1880000,5,400,0,0,0,0,0,0,0,1002,4,1997,3,166,5,390000,26467,4700,30737.61626429479,28486.412584912407,28222.31623931624
Brugge,8000,penthouse,1130000,3,281,1,0,1,176,1,176,0,0,3,2012,5,130,3,310000,29506,4021,25996.018604651163,28758.51106301106,29446.861588481188
Libin-smuid,6890,house,199000,2,120,0,0,1,20,1,300,0,568,4,1870,3,278,3,275000,29036,1658,29802.14056563951,28758.51106301106,28222.31623931624
Kraainem,1950,house,745000,3,235,0,0,1,7,1,470,1,695,2,1975,4,245,5,530000,32881,3170,29802.14056563951,28486.412584912407,29068.10478029937
Geraardsbergen,9500,apartment,159000,1,50,0,0,0,0,0,0,0,0,2,2006,5,105,3,238500,29578,3180,26803.13784722222,28758.51106301106,29446.861588481188
Anderlecht,1070,apartment,199000,2,80,1,0,0,0,0,0,0,0,2,1970,4,119,5,220000,21336,2487,26803.13784722222,28486.412584912407,29068.10478029937
Overijse,3090,villa,1975000,4,560,1,0,0,0,0,0,1,4820,4,1985,5,110,5,517500,33781,3526,30737.61626429479,28486.412584912407,29446.861588481188
Sint-gillis-waas,9170,house,695000,2,167,1,0,0,0,0,0,0,863,3,2012,5,158,5,330000,31678,4161,29802.14056563951,28486.412584912407,29446.861588481188
Oud-heverlee,3050,villa,935000,5,262,1,0,1,24,1,500,0,722,4,2014,6,69,5,425000,39273,3568,30737.61626429479,28486.412584912407,29468.910848549946
Ixelles,1050,penthouse,650000,3,145,1,0,1,37,0,0,0,0,2,1975,3,204,3,350000,23014,4482,25996.018604651163,28758.51106301106,28222.31623931624
Brussels,1000,apartment,475000,3,100,1,0,1,6,0,0,0,0,2,2014,5,61,5,275000,21541,4750,26803.13784722222,28486.412584912407,29446.861588481188
Herstal,4040,house,285000,3,112,1,0,1,14,1,100,0,212,2,1974,3,262,5,170000,24271,2544,29802.14056563951,28486.412584912407,28222.31623931624
Bullange,4760,house,297000,3,141,0,0,0,0,0,0,0,3054,4,1950,2,398,3,172500,28514,2106,29802.14056563951,28758.51106301106,27576.145009416196
Paliseul,6850,house,165000,3,156,1,0,0,0,0,0,0,299,3,1851,0,525,3,204500,26189,1057,29802.14056563951,28758.51106301106,25195.411320754716
Oudenaarde,9700,house,274000,4,182,0,0,0,0,0,0,0,750,2,1940,2,493,3,275000,30647,1505,29802.14056563951,28758.51106301106,27576.145009416196
Sint-idesbald,8670,villa,649500,4,211,0,0,0,0,1,429,0,579,4,1972,4,244,5,300000,30348,3078,30737.61626429479,28486.412584912407,29068.10478029937
Niel,2845,apartment,310000,1,134,1,0,1,20,1,195,0,0,2,2013,5,135,3,255000,31517,2313,26803.13784722222,28758.51106301106,29446.861588481188
Tervuren,3080,house,1250000,4,308,1,0,0,0,0,0,0,829,4,2010,5,141,5,492000,34270,4058,29802.14056563951,28486.412584912407,29446.861588481188
Berchem-sainte-agathe,1082,apartment,365000,3,150,0,0,1,10,0,0,0,0,2,1991,2,261,2,267500,24327,2433,26803.13784722222,28791.728096676736,27576.145009416196
Gingelom,3890,house,299000,3,175,1,0,0,0,0,0,0,664,3,1899,3,321,5,250000,31659,1708,29802.14056563951,28486.412584912407,28222.31623931624
Glabais,1473,house,1750000,4,235,1,0,0,0,0,0,0,8105,4,1972,3,303,5,375000,31074,7446,29802.14056563951,28486.412584912407,28222.31623931624
Gent,9000,ground-floor,259000,1,60,1,0,1,9,0,0,0,0,2,1970,4,242,3,335000,27801,4316,28347.043859649122,28758.51106301106,29068.10478029937
Jette,1090,apartment,330000,2,101,1,0,1,13,0,0,0,0,2,2019,4,142,5,235000,24171,3267,26803.13784722222,28486.412584912407,29068.10478029937
Blankenberge,8370,apartment,215000,2,80,1,0,1,2,0,0,0,0,2,1984,5,119,1,235000,25711,2687,26803.13784722222,28927.5390070922,29446.861588481188
Oplinter,3300,house,259000,3,126,0,0,0,0,1,742,0,1020,3,1961,1,593,1,249000,29289,2055,29802.14056563951,28927.5390070922,29144.322250639387
Turnhout,2300,apartment,235000,4,147,0,0,0,0,0,0,0,0,3,1972,4,263,3,250000,27404,1598,26803.13784722222,28758.51106301106,29068.10478029937
Oostende,8400,house,439000,4,356,0,0,1,11,1,166,0,317,4,1988,4,221,3,235000,25991,1233,29802.14056563951,28758.51106301106,29068.10478029937
Oudenaarde,9700,apartment,269000,1,66,0,0,1,9,0,0,0,0,4,2015,5,102,3,275000,30647,4075,26803.13784722222,28758.51106301106,29446.861588481188
Hemiksem,2620,house,364000,4,275,1,0,0,0,0,0,0,303,2,1982,4,298,1,265000,32465,1323,29802.14056563951,28927.5390070922,29068.10478029937
Liege,4000,apartment,114900,1,45,0,0,0,0,0,0,0,0,3,1890,3,283,3,170000,22738,2553,26803.13784722222,28758.51106301106,28222.31623931624
Molenbeek-saint-jean,1080,apartment,270000,2,85,1,0,1,4,0,0,0,0,2,1960,3,170,5,215000,21062,3176,26803.13784722222,28486.412584912407,28222.31623931624
Middelkerke,8430,apartment,310000,1,51,1,0,0,0,0,0,0,0,2,1971,5,112,1,200000,27292,6078,26803.13784722222,28927.5390070922,29446.861588481188
Rumst,2840,apartment,265000,2,95,1,0,1,1,0,0,0,0,2,1991,6,56,5,320000,33441,2789,26803.13784722222,28486.412584912407,29468.910848549946
Ninove,9400,house,599000,6,537,0,0,0,0,0,0,0,650,4,1890,1,677,3,260000,29589,1115,29802.14056563951,28758.51106301106,29144.322250639387
Schilde,2970,villa,699000,2,250,0,0,0,0,0,0,0,2055,4,1977,2,449,2,500000,33742,2796,30737.61626429479,28791.728096676736,27576.145009416196
Gistel,8470,villa,479000,3,188,1,0,0,0,0,0,0,632,4,1988,5,156,3,280000,30301,2547,30737.61626429479,28758.51106301106,29446.861588481188
Forest,1190,apartment,399000,2,95,1,0,0,0,0,0,0,0,2,1925,3,153,4,280000,22908,4200,26803.13784722222,28224.02819956616,28222.31623931624
Tessenderlo,3980,house,360000,3,154,1,0,0,0,0,0,0,948,4,1982,1,729,2,260000,31792,2337,29802.14056563951,28791.728096676736,29144.322250639387
Wezembeek-oppem,1970,house,598000,3,155,1,0,0,0,1,200,0,571,4,1960,1,776,1,520000,33282,3858,29802.14056563951,28927.5390070922,29144.322250639387
Tongeren,3700,house,249000,5,193,1,0,0,0,1,100,0,225,2,1850,4,275,4,223000,28396,1290,29802.14056563951,28224.02819956616,29068.10478029937
Lommel,3920,house,268000,3,179,1,0,0,0,0,0,0,527,3,1965,4,299,2,285000,30215,1497,29802.14056563951,28791.728096676736,29068.10478029937
Waregem,8790,house,295000,3,182,0,0,0,0,0,0,0,281,3,1972,3,327,3,292000,30342,1620,29802.14056563951,28758.51106301106,28222.31623931624
Waregem,8790,house,170000,3,160,0,0,0,0,0,0,0,155,2,1918,2,434,1,292000,30342,1062,29802.14056563951,28927.5390070922,27576.145009416196
Schoten,2900,apartment,224000,3,93,0,0,0,0,0,0,0,0,3,1977,3,317,3,330550,31175,2408,26803.13784722222,28758.51106301106,28222.31623931624
Deinze-astene,9800,house,475000,3,167,1,0,0,0,1,114,0,235,3,2022,6,30,5,320500,31900,2844,29802.14056563951,28486.412584912407,29468.910848549946
Woluwe-saint-pierre,1150,triplex,598000,3,135,1,0,1,7,1,30,0,0,2,1955,2,257,3,465000,29516,4429,27681.928571428572,28758.51106301106,27576.145009416196
Kortrijk,8500,house,349000,3,186,1,0,0,0,0,0,0,479,2,1967,5,126,4,265000,28248,1876,29802.14056563951,28224.02819956616,29446.861588481188
Embourg,4053,apartment,229000,2,102,1,0,0,0,0,0,0,0,4,1967,3,290,3,269500,30998,2245,26803.13784722222,28758.51106301106,28222.31623931624
Molenbeek-saint-jean,1080,apartment,249500,2,90,1,0,1,14,0,0,0,0,2,1969,1,312,3,215000,21062,2772,26803.13784722222,28758.51106301106,29144.322250639387
Uccle,1180,villa,1340000,4,266,1,0,1,20,0,0,0,1131,3,1960,3,210,5,390000,26467,5037,30737.61626429479,28486.412584912407,28222.31623931624
Etterbeek,1040,apartment,189000,1,52,0,0,0,0,0,0,0,0,2,1933,2,264,1,323500,23665,3634,26803.13784722222,28927.5390070922,27576.145009416196
Bruxelles,1000,flat-studio,135000,1,23,1,0,0,0,0,0,0,0,2,1999,2,236,3,275000,21541,5869,25140.745098039217,28758.51106301106,27576.145009416196
Libin,6890,villa,360000,7,226,0,0,0,0,1,500,0,2066,4,1977,4,202,2,275000,29036,1592,30737.61626429479,28791.728096676736,29068.10478029937
Halle,1500,apartment,349000,3,126,1,0,1,6,0,0,0,0,3,1964,6,51,4,308250,30101,2769,26803.13784722222,28224.02819956616,29468.910848549946
Mortsel,2640,apartment,279000,2,72,1,0,0,0,0,0,0,0,3,2010,6,100,3,339500,31213,3875,26803.13784722222,28758.51106301106,29468.910848549946
Brasschaat,2940,ground-floor,399000,2,131,1,0,1,65,0,0,0,0,3,1996,5,120,3,305000,33477,3045,28347.043859649122,28758.51106301106,29446.861588481188
Turnhout,2300,ground-floor,349000,2,128,1,0,0,0,0,0,0,0,2,1930,6,54,5,250000,27404,2726,28347.043859649122,28486.412584912407,29468.910848549946
Aywaille,4920,apartment,235000,2,130,0,0,0,0,0,0,0,0,2,1997,4,216,2,217000,27232,1807,26803.13784722222,28791.728096676736,29068.10478029937
Ixelles,1050,duplex,515000,2,150,0,0,0,0,0,0,0,0,2,1928,2,270,2,350000,23014,3433,27281.282442748092,28791.728096676736,27576.145009416196
Gullegem,8560,house,215000,3,191,0,0,0,0,0,0,0,477,3,1954,4,293,5,245000,31432,1125,29802.14056563951,28486.412584912407,29068.10478029937
Evere,1140,apartment,198000,1,45,0,1,1,4,0,0,0,0,3,1998,1,280,3,257500,24158,4400,26803.13784722222,28758.51106301106,29144.322250639387
Schilde,2970,house,689000,4,162,0,0,0,0,1,389,0,389,3,2023,6,47,3,500000,33742,4253,29802.14056563951,28758.51106301106,29468.910848549946
Wavre,1300,apartment,179000,1,51,1,0,0,0,0,0,0,0,3,1956,4,226,3,310000,28507,3509,26803.13784722222,28758.51106301106,29068.10478029937
Zele,9240,apartment,275000,3,120,0,0,0,0,0,0,0,0,3,1969,5,177,5,275000,29536,2291,26803.13784722222,28486.412584912407,29446.861588481188
Nieuwpoort,8620,house,449000,4,279,1,0,0,0,0,0,0,370,3,1934,3,396,3,260000,27342,1609,29802.14056563951,28758.51106301106,28222.31623931624
Ixelles,1050,penthouse,1040000,3,175,1,0,1,20,0,0,0,0,2,1899,3,159,5,350000,23014,5942,25996.018604651163,28486.412584912407,28222.31623931624
Sint-jans-molenbeek,1080,apartment,215000,2,110,0,0,1,16,0,0,0,0,2,1975,4,144,3,215000,21062,1954,26803.13784722222,28758.51106301106,29068.10478029937
Etterbeek,1040,apartment,1350000,4,300,1,0,1,20,0,0,0,0,2,1974,4,132,3,323500,23665,4500,26803.13784722222,28758.51106301106,29068.10478029937
Ganshoren,1083,ground-floor,199000,1,68,0,0,0,0,1,100,0,0,2,1956,2,258,3,220000,23789,2926,28347.043859649122,28758.51106301106,27576.145009416196
Leopoldsburg,3970,house,347000,3,170,0,0,0,0,0,0,0,325,3,1997,5,179,3,245000,29587,2041,29802.14056563951,28758.51106301106,29446.861588481188
Turnhout,2300,house,335500,3,129,0,0,0,0,1,107,0,185,3,2024,6,20,5,250000,27404,2600,29802.14056563951,28486.412584912407,29468.910848549946
Ans,4430,apartment,150000,2,110,1,0,1,15,0,0,0,0,2,1985,5,138,4,200500,26138,1363,26803.13784722222,28224.02819956616,29446.861588481188
Fontaine-lcvcaaque,6140,villa,289000,2,95,1,0,1,20,1,200,0,539,4,1978,1,472,5,150000,24918,3042,30737.61626429479,28486.412584912407,29144.322250639387
Sint-jans-molenbeek,1080,apartment,235000,1,57,1,1,1,37,0,0,0,0,2,1981,1,319,3,215000,21062,4122,26803.13784722222,28758.51106301106,29144.322250639387
Gent,9000,apartment,970000,3,266,0,0,0,0,0,0,0,0,3,1994,5,110,5,335000,27801,3646,26803.13784722222,28486.412584912407,29446.861588481188
Wemmel,1780,apartment,298000,2,98,1,0,1,9,0,0,0,0,2,1969,4,233,3,380000,29511,3040,26803.13784722222,28758.51106301106,29068.10478029937
Lendelede,8860,house,324000,3,128,1,0,1,18,1,100,0,319,4,2009,5,191,5,262500,31154,2531,29802.14056563951,28486.412584912407,29446.861588481188
Antwerpen,2000,apartment,349000,2,108,1,0,0,0,0,0,0,0,2,2001,5,139,3,260000,25683,3231,26803.13784722222,28758.51106301106,29446.861588481188
Wachtebeke,9185,house,299000,3,160,0,0,0,0,0,0,0,1141,3,1969,3,326,2,310000,32641,1868,29802.14056563951,28791.728096676736,28222.31623931624
Waterloo,1410,villa,525000,4,155,1,0,1,30,1,138,0,1308,4,2000,4,249,2,475000,31143,3387,30737.61626429479,28791.728096676736,29068.10478029937
Zingemouwegem,9750,penthouse,275000,3,121,1,0,0,0,0,0,0,0,3,2001,5,190,5,314625,33128,2272,25996.018604651163,28486.412584912407,29446.861588481188
Lokeren,9160,house,345000,3,185,0,0,0,0,0,0,0,410,2,1930,4,275,5,295000,30290,1864,29802.14056563951,28486.412584912407,29068.10478029937
Woluwe-saint-lambert,1200,duplex,570000,3,131,1,0,1,45,0,0,0,0,3,1961,1,277,5,369000,27210,4351,27281.282442748092,28486.412584912407,29144.322250639387
Bruxelles,1000,apartment,450000,2,88,1,0,1,20,0,0,0,0,2,1970,0,352,5,275000,21541,5113,26803.13784722222,28486.412584912407,25195.411320754716
Gent,9000,apartment,384500,2,99,1,0,1,10,0,0,0,0,2,2019,6,44,5,335000,27801,3883,26803.13784722222,28486.412584912407,29468.910848549946
Kraainem,1950,house,1070000,5,280,1,0,1,18,1,175,0,289,2,2010,5,144,5,530000,32881,3821,29802.14056563951,28486.412584912407,29446.861588481188
Middelkerke,8430,apartment,365000,1,58,0,1,0,0,0,0,0,0,2,1969,4,225,3,200000,27292,6293,26803.13784722222,28758.51106301106,29068.10478029937
Namur,5000,apartment,109000,1,45,0,0,0,0,0,0,0,0,2,1880,4,181,3,250000,26345,2422,26803.13784722222,28758.51106301106,29068.10478029937
Melsele,9120,house,845000,3,348,1,0,0,0,1,550,0,759,4,2000,5,115,5,296500,32302,2428,29802.14056563951,28486.412584912407,29446.861588481188
Nivelles,1400,apartment,317000,2,92,1,0,1,10,0,0,0,0,2,2012,6,62,5,260000,28900,3445,26803.13784722222,28486.412584912407,29468.910848549946
Vilvoorde,1800,duplex,699000,4,260,1,0,1,12,0,0,0,0,2,1850,5,106,5,300000,29017,2688,27281.282442748092,28486.412584912407,29446.861588481188
Aulnois,7040,house,319999,5,185,1,0,0,0,1,738,0,1112,4,2002,3,278,5,170000,29049,1729,29802.14056563951,28486.412584912407,28222.31623931624
Nil-saint-vincent-saint-martin,1457,duplex,275000,2,85,1,0,0,0,0,0,0,0,3,2012,3,337,3,352500,32526,3235,27281.282442748092,28758.51106301106,28222.31623931624
Balen,2490,house,324000,3,180,1,0,0,0,0,0,0,477,3,1937,3,362,3,267000,31503,1800,29802.14056563951,28758.51106301106,28222.31623931624
Herk-de-stad,3540,apartment,350000,2,128,1,0,0,0,0,0,0,0,2,2024,6,25,3,278000,31143,2734,26803.13784722222,28758.51106301106,29468.910848549946
Gent,9000,house,499000,5,187,0,0,1,20,1,41,0,121,2,1899,4,258,3,335000,27801,2668,29802.14056563951,28758.51106301106,29068.10478029937
Wavre,1300,ground-floor,365000,2,140,1,0,1,15,1,70,0,0,2,1900,5,150,4,310000,28507,2607,28347.043859649122,28224.02819956616,29446.861588481188
Brugge,8000,house,795000,5,306,0,0,0,0,0,0,0,1005,4,1886,6,94,3,310000,29506,2598,29802.14056563951,28758.51106301106,29468.910848549946
Tubize,1480,house,259000,2,213,1,0,1,15,1,66,0,320,3,1950,3,336,3,252250,27224,1215,29802.14056563951,28758.51106301106,28222.31623931624
Bonheiden,2820,villa,2250000,4,340,0,0,0,0,0,0,0,2638,4,2024,6,27,5,400000,34766,6617,30737.61626429479,28486.412584912407,29468.910848549946
Rendeux-beffe,6987,house,295000,6,176,1,0,1,12,1,579,0,697,4,1990,2,407,3,155000,27306,1676,29802.14056563951,28758.51106301106,27576.145009416196
Brasschaat,2930,house,689000,4,189,0,0,1,25,0,0,0,694,4,1965,4,213,5,385000,31614,3645,29802.14056563951,28486.412584912407,29068.10478029937
Depanne,8660,apartment,120000,2,71,0,0,0,0,0,0,0,0,1,1969,4,260,3,227000,26096,1690,26803.13784722222,28758.51106301106,29068.10478029937
Zaventem,1930,apartment,285000,1,68,1,0,1,14,0,0,0,0,3,1997,4,263,3,379500,29918,4191,26803.13784722222,28758.51106301106,29068.10478029937
Affligem,1790,house,375000,3,183,1,0,1,25,1,50,0,254,3,1971,2,422,3,330000,34876,2049,29802.14056563951,28758.51106301106,27576.145009416196
Tremelo,3120,house,249000,2,160,0,0,0,0,0,0,0,541,4,1957,1,620,1,361000,32139,1556,29802.14056563951,28927.5390070922,29144.322250639387
Brecht,2960,house,469000,3,153,0,0,0,0,0,0,0,1089,4,1970,3,389,1,385000,32680,3065,29802.14056563951,28927.5390070922,28222.31623931624
Voeren,3790,duplex,189000,2,88,1,0,1,27,0,0,0,0,2,1950,3,379,3,305500,29134,2147,27281.282442748092,28758.51106301106,28222.31623931624
Berlare,9290,house,375000,3,163,1,0,0,0,0,0,0,576,3,1978,1,584,3,306750,30292,2300,29802.14056563951,28758.51106301106,29144.322250639387
Geraardsbergen,9500,house,257000,4,156,0,0,0,0,0,0,0,1913,4,1959,3,370,1,238500,29578,1647,29802.14056563951,28927.5390070922,28222.31623931624
Merelbeke,9820,apartment,169000,1,43,1,0,1,18,0,0,0,0,3,1976,4,212,2,375000,34972,3930,26803.13784722222,28791.728096676736,29068.10478029937
Rhode-saint-genese,1640,villa,1195000,5,395,1,0,1,96,1,820,0,1063,4,1965,4,208,5,530000,32847,3025,30737.61626429479,28486.412584912407,29068.10478029937
Sint-lievens-houtem,9520,house,1150000,3,303,1,0,0,0,0,0,0,4221,4,1993,4,225,3,341157,33188,3795,29802.14056563951,28758.51106301106,29068.10478029937
Oudenaarde,9700,house,295000,7,231,0,0,0,0,0,0,0,170,2,1939,5,150,3,275000,30647,1277,29802.14056563951,28758.51106301106,29446.861588481188
Balen,2490,house,379000,3,140,1,0,0,0,0,0,0,1014,3,1936,5,189,4,267000,31503,2707,29802.14056563951,28224.02819956616,29446.861588481188
Bassengeboirs,4690,house,300000,2,152,0,0,0,0,1,540,0,1088,4,1998,3,281,3,193000,28381,1973,29802.14056563951,28758.51106301106,28222.31623931624
Comblain-au-pont,4170,house,225000,4,396,0,0,0,0,0,0,0,997,4,1918,1,476,2,150000,25714,568,29802.14056563951,28791.728096676736,29144.322250639387
Boutersem,3370,house,420000,6,400,0,0,0,0,0,0,0,988,4,1950,3,302,3,384000,36120,1050,29802.14056563951,28758.51106301106,28222.31623931624
Antwerpen,2000,flat-studio,168000,1,35,0,0,0,0,0,0,0,0,2,1979,4,222,3,260000,25683,4800,25140.745098039217,28758.51106301106,29068.10478029937
Overijse,3090,villa,695000,4,298,1,0,1,17,1,330,0,477,4,1971,3,366,5,517500,33781,2332,30737.61626429479,28486.412584912407,28222.31623931624
Tienen,3300,house,279000,5,158,0,0,0,0,1,160,0,260,2,1930,3,305,5,249000,29289,1765,29802.14056563951,28486.412584912407,28222.31623931624
Rixensart,1330,villa,350000,2,120,1,0,1,10,1,625,0,625,4,1961,1,495,1,450000,29985,2916,30737.61626429479,28927.5390070922,29144.322250639387
Haacht,3150,villa,595000,5,230,1,0,1,30,1,940,0,1472,4,2006,6,32,5,350500,34772,2586,30737.61626429479,28486.412584912407,29468.910848549946
Melle,9090,house,439000,2,163,1,0,0,0,1,920,0,1033,3,1977,2,433,3,375000,34853,2693,29802.14056563951,28758.51106301106,27576.145009416196
Hamme,9220,house,420000,2,225,1,0,0,0,0,0,0,486,4,1973,5,104,3,260000,29245,1866,29802.14056563951,28758.51106301106,29446.861588481188
Landen,3400,villa,695000,4,210,1,0,1,50,0,0,0,6120,4,2002,4,228,3,230000,32526,3309,30737.61626429479,28758.51106301106,29068.10478029937
Borgloon,3840,house,445000,3,200,1,0,0,0,0,0,0,1800,4,1992,4,235,3,260000,29600,2225,29802.14056563951,28758.51106301106,29068.10478029937
Ixelles,1050,apartment,645000,3,165,1,0,1,6,0,0,0,0,2,1936,1,341,5,350000,23014,3909,26803.13784722222,28486.412584912407,29144.322250639387
Blankenberge,8370,apartment,569500,3,105,0,0,0,0,0,0,0,0,2,1976,4,255,5,235000,25711,5423,26803.13784722222,28486.412584912407,29068.10478029937
Molenbeek-saint-jean,1080,apartment,239000,2,103,1,0,0,0,0,0,0,0,2,1975,1,338,5,215000,21062,2320,26803.13784722222,28486.412584912407,29144.322250639387
Sint-pieters-leeuw,1600,duplex,345000,3,107,1,0,1,10,0,0,0,0,2,2004,3,378,5,325000,29043,3224,27281.282442748092,28486.412584912407,28222.31623931624
